title,description,url,adaptive_support,remote_support,test_type,duration_minutes,job_levels,languages,keywords,cleaned_title,combined_text
Manufacturing Skilled Maintenance Worker,"the manufacturing skilled maintenance solution is designed for entry-level positions to measure the behaviors and experiences that underlie successful and safe performance in the workplace. this solution measures a candidates mechanical comprehension abilities and general tendency to behave safely and efficiently in the workplace. this solution uses a variety of assessment types including measures of personality traits, safety-related situational judgment, and mechanical comprehension. the manufacturing skilled maintenance solution is designed for selection to job titles, such as: industrial machinery mechanic, automotive service technician, small engine mechanic, mobile equipment service technician, and diesel service technician.",https://www.shl.com/products/product-catalog/view/manufacturing-skilled-maintenance-worker/,Yes,Yes,Personality & Behavior,45,entry-level,english (usa),"skilled maintenance, maintenance worker, manufacturing skilled, machinery mechanic, worker manufacturing",Manufacturing Skilled Maintenance Worker,"Manufacturing Skilled Maintenance Worker is the title, the manufacturing skilled maintenance solution is designed for entry-level positions to measure the behaviors and experiences that underlie successful and safe performance in the workplace. this solution measures a candidates mechanical comprehension abilities and general tendency to behave safely and efficiently in the workplace. this solution uses a variety of assessment types including measures of personality traits, safety-related situational judgment, and mechanical comprehension. the manufacturing skilled maintenance solution is designed for selection to job titles, such as: industrial machinery mechanic, automotive service technician, small engine mechanic, mobile equipment service technician, and diesel service technician. Yes, have adaptive support and Yes have remote support. Personality & Behavior skills, duration is 45 min, it is a entry-level in english (usa) language, skilled maintenance, maintenance worker, manufacturing skilled, machinery mechanic, worker manufacturing can be used."
.NET MVC (New),"multi-choice test that measures the knowledge of model-view-controller (mvc) architecture, validation, security, routing, and areas.",https://www.shl.com/products/product-catalog/view/net-mvc-new/,Yes,Yes,Knowledge & Skills,17,"mid-professional, professional individual contributor",english (usa),"mvc new, net mvc, mvc, mvc architecture, controller mvc",NET MVC,".NET MVC (New) is the title, multi-choice test that measures the knowledge of model-view-controller (mvc) architecture, validation, security, routing, and areas. Yes, have adaptive support and Yes have remote support. Knowledge & Skills skills, duration is 17 min, it is a mid-professional, professional individual contributor in english (usa) language, mvc new, net mvc, mvc, mvc architecture, controller mvc can be used."
General Entry Level - All Industries 7.1(Americas),"our general entry level all industries 7.1 solution is designed for entry-level positions across industries. this solution predicts the following types of behaviors foundational to all jobs: being on-time to work; following rules and policies; treating others respectfully; producing quality work; meeting goals; and effectively working alongside others. solution can be used across all industries with entry-level positions. example titles include, but are not limited to: administrator, clerk, veterinary assistant, stocker, dish washer, office coordinator, tour guide, cook, assistant, housekeeper, waste collector.",https://www.shl.com/products/product-catalog/view/general-entry-level-all-industries-7-1%28americas%29/,Yes,Yes,Personality & Behavior,19,entry-level,"portuguese (brazil), french (canada), english (usa), latin american spanish","level industries, entry level, positions industries, industries entry, general entry",General Entry Level All Industries,"General Entry Level - All Industries 7.1(Americas) is the title, our general entry level all industries 7.1 solution is designed for entry-level positions across industries. this solution predicts the following types of behaviors foundational to all jobs: being on-time to work; following rules and policies; treating others respectfully; producing quality work; meeting goals; and effectively working alongside others. solution can be used across all industries with entry-level positions. example titles include, but are not limited to: administrator, clerk, veterinary assistant, stocker, dish washer, office coordinator, tour guide, cook, assistant, housekeeper, waste collector. Yes, have adaptive support and Yes have remote support. Personality & Behavior skills, duration is 19 min, it is a entry-level in portuguese (brazil), french (canada), english (usa), latin american spanish language, level industries, entry level, positions industries, industries entry, general entry can be used."
Claims/Operations Supervisor Solution,"the claims/operations supervisor solution is for entry-level management positions that involve supervising hourly employees. sample tasks for this job include, but are not limited to: planning and preparing work schedules; assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks; developing employees skills; training subordinates; prioritizing multiple tasks and priorities; making day-to-day decisions with minimal guidance from others. potential job titles that use this solution are: team leader, coach, first line supervisor, claims supervisor, operations supervisor, and customer service supervisor. multiple configurations of this solution are available.",https://www.shl.com/products/product-catalog/view/claimsoperations-supervisor-solution/,Yes,Yes,"Personality & Behavior, Knowledge & Skills, Personality & Behavior",48,manager,english (usa),"claims supervisor, operations supervisor, supervisor operations, supervisor claims, service supervisor",ClaimsOperations Supervisor Solution,"Claims/Operations Supervisor Solution is the title, the claims/operations supervisor solution is for entry-level management positions that involve supervising hourly employees. sample tasks for this job include, but are not limited to: planning and preparing work schedules; assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks; developing employees skills; training subordinates; prioritizing multiple tasks and priorities; making day-to-day decisions with minimal guidance from others. potential job titles that use this solution are: team leader, coach, first line supervisor, claims supervisor, operations supervisor, and customer service supervisor. multiple configurations of this solution are available. Yes, have adaptive support and Yes have remote support. Personality & Behavior, Knowledge & Skills, Personality & Behavior skills, duration is 48 min, it is a manager in english (usa) language, claims supervisor, operations supervisor, supervisor operations, supervisor claims, service supervisor can be used."
Healthcare Service Associate Solution,"the healthcare service associate solution is for entry-level positions in a healthcare environment that require the employee to interact with patients. sample tasks for this job include, but are not limited to: delivering food to patients, cleaning patient rooms, and welcoming guests to the hospital. potential job titles that use this solution are: housekeepers, dietary aides, and guest services coordinator. there are multiple configurations and versions of this solution available.",https://www.shl.com/products/product-catalog/view/healthcare-service-associate-solution/,Yes,Yes,"Personality & Behavior, Personality & Behavior",37,entry-level,english (usa),"service associate, healthcare service, solution healthcare, associate solution, solution housekeepers",Healthcare Service Associate Solution,"Healthcare Service Associate Solution is the title, the healthcare service associate solution is for entry-level positions in a healthcare environment that require the employee to interact with patients. sample tasks for this job include, but are not limited to: delivering food to patients, cleaning patient rooms, and welcoming guests to the hospital. potential job titles that use this solution are: housekeepers, dietary aides, and guest services coordinator. there are multiple configurations and versions of this solution available. Yes, have adaptive support and Yes have remote support. Personality & Behavior, Personality & Behavior skills, duration is 37 min, it is a entry-level in english (usa) language, service associate, healthcare service, solution healthcare, associate solution, solution housekeepers can be used."
Installation and Repair Technician Solution,"the installation and repair technician solution is designed for use with entry-level field technician positions in the telecommunications industry. the solution is focused on positions that involve installing, repairing, and maintaining telecommunications equipment, along with some customer interaction, and little to no specific sales components. sample tasks may include: installing or repairing end-user telecommunications equipment and services, interacting with customers, and installing, or repairing telecommunications network infrastructure. potential job titles that use this solution are: installer, service technician, and customer installation technician. there are multiple configurations of this solution available.",https://www.shl.com/products/product-catalog/view/installation-and-repair-technician-solution/,Yes,Yes,"Personality & Behavior, Personality & Behavior, Knowledge & Skills",49,professional individual contributor,english (usa),"installation technician, technician solution, repair technician, service technician, technician positions",Installation and Repair Technician Solution,"Installation and Repair Technician Solution is the title, the installation and repair technician solution is designed for use with entry-level field technician positions in the telecommunications industry. the solution is focused on positions that involve installing, repairing, and maintaining telecommunications equipment, along with some customer interaction, and little to no specific sales components. sample tasks may include: installing or repairing end-user telecommunications equipment and services, interacting with customers, and installing, or repairing telecommunications network infrastructure. potential job titles that use this solution are: installer, service technician, and customer installation technician. there are multiple configurations of this solution available. Yes, have adaptive support and Yes have remote support. Personality & Behavior, Personality & Behavior, Knowledge & Skills skills, duration is 49 min, it is a professional individual contributor in english (usa) language, installation technician, technician solution, repair technician, service technician, technician positions can be used."
Service Supervisor Solution,"the service supervisor solution is designed for entry-level leadership positions in the hospitality industry that oversee hourly and salaried employees in customer facing positions (e.g. front desk associate, concierge, guest service associate). individuals in these roles perform many of hte duties of the employees they supervise. sample tasks may include: assisting challenging guests, coaching employees on their customer service skills, taking corrective action when an employee is performing poorly, and monitoring employees to assess the satisfactory completion of tasks. potential job titles that use this solution are: front desk manager, guest services supervisor, and front desk supervisor. multiple configurations of this solution are available.",https://www.shl.com/products/product-catalog/view/service-supervisor-solution/,Yes,Yes,"Personality & Behavior, Personality & Behavior",48,"front line manager, manager, supervisor",english (usa),"service supervisor, services supervisor, supervisor solution, positions hospitality, employees supervise",Service Supervisor Solution,"Service Supervisor Solution is the title, the service supervisor solution is designed for entry-level leadership positions in the hospitality industry that oversee hourly and salaried employees in customer facing positions (e.g. front desk associate, concierge, guest service associate). individuals in these roles perform many of hte duties of the employees they supervise. sample tasks may include: assisting challenging guests, coaching employees on their customer service skills, taking corrective action when an employee is performing poorly, and monitoring employees to assess the satisfactory completion of tasks. potential job titles that use this solution are: front desk manager, guest services supervisor, and front desk supervisor. multiple configurations of this solution are available. Yes, have adaptive support and Yes have remote support. Personality & Behavior, Personality & Behavior skills, duration is 48 min, it is a front line manager, manager, supervisor in english (usa) language, service supervisor, services supervisor, supervisor solution, positions hospitality, employees supervise can be used."
Industrial - Semi-skilled 7.1 (Americas),"our industrial semi-skilled 7.1 solution is designed for entry-level positions and measures the behaviors and experiences that underlie successful and safe performance for production workers. the solution assesses behaviors and competencies foundational to industrial roles including: following policies and procedures; applying relevant trade skills; wearing required protective equipment; working with or monitoring equipment; producing high quality work; effectively working with others; and maintaining an orderly work environment. potential job titles that use this solution include: production and assembly worker, construction worker, extraction technician. please note this package is in americas norm.",https://www.shl.com/products/product-catalog/view/industrial-semi-skilled-7-1-%28americas%29/,Yes,Yes,Personality & Behavior,24,entry-level,"english (usa), portuguese (brazil), french (canada)","semi skilled, production workers, industrial roles, worker extraction, industrial semi",Industrial Semiskilled,"Industrial - Semi-skilled 7.1 (Americas) is the title, our industrial semi-skilled 7.1 solution is designed for entry-level positions and measures the behaviors and experiences that underlie successful and safe performance for production workers. the solution assesses behaviors and competencies foundational to industrial roles including: following policies and procedures; applying relevant trade skills; wearing required protective equipment; working with or monitoring equipment; producing high quality work; effectively working with others; and maintaining an orderly work environment. potential job titles that use this solution include: production and assembly worker, construction worker, extraction technician. please note this package is in americas norm. Yes, have adaptive support and Yes have remote support. Personality & Behavior skills, duration is 24 min, it is a entry-level in english (usa), portuguese (brazil), french (canada) language, semi skilled, production workers, industrial roles, worker extraction, industrial semi can be used."
Insurance Account Manager Solution,"the insurance account manager solution is for mid-level insurance professionals that manage the day-to-day operations and activities of customer accounts. sample tasks for this job include, but are not limited to: soliciting sales of new or additional products or services; interacting with customers to provide information in response to inquiries about products and services and to handle and resolve complaints; keeping records of customer interactions and transactions; resolving customers service or billing complaints; determining charges for services requested; collecting deposits or payments; and arranging for billing. potential job titles that use this solution are: account executive, account manager, and senior account manager. multiple configurations of this solution are available.",https://www.shl.com/products/product-catalog/view/insurance-account-manager-solution/,Yes,Yes,"Personality & Behavior, Personality & Behavior, Knowledge & Skills",48,mid-professional,english (usa),"insurance account, account manager, customer accounts, account executive, solution insurance",Insurance Account Manager Solution,"Insurance Account Manager Solution is the title, the insurance account manager solution is for mid-level insurance professionals that manage the day-to-day operations and activities of customer accounts. sample tasks for this job include, but are not limited to: soliciting sales of new or additional products or services; interacting with customers to provide information in response to inquiries about products and services and to handle and resolve complaints; keeping records of customer interactions and transactions; resolving customers service or billing complaints; determining charges for services requested; collecting deposits or payments; and arranging for billing. potential job titles that use this solution are: account executive, account manager, and senior account manager. multiple configurations of this solution are available. Yes, have adaptive support and Yes have remote support. Personality & Behavior, Personality & Behavior, Knowledge & Skills skills, duration is 48 min, it is a mid-professional in english (usa) language, insurance account, account manager, customer accounts, account executive, solution insurance can be used."
Server Solution,"the server solution is designed for entry-level positions in the hospitality industry. sample tasks include greeting customers, taking customer food and drink orders and delivering food items to guests. the solution is focused on work ethic, customer focus and sales. potential job titles that use this solution are: server and waiter/waitress. multiple configurations of this solution are available.",https://www.shl.com/products/product-catalog/view/server-solution/,Yes,Yes,"Personality & Behavior, Personality & Behavior",40,entry-level,english (usa),"server waiter, server solution, solution server, server, waiter waitress",Server Solution,"Server Solution is the title, the server solution is designed for entry-level positions in the hospitality industry. sample tasks include greeting customers, taking customer food and drink orders and delivering food items to guests. the solution is focused on work ethic, customer focus and sales. potential job titles that use this solution are: server and waiter/waitress. multiple configurations of this solution are available. Yes, have adaptive support and Yes have remote support. Personality & Behavior, Personality & Behavior skills, duration is 40 min, it is a entry-level in english (usa) language, server waiter, server solution, solution server, server, waiter waitress can be used."
Proof Operator - Processing Specialist -Short Form,"the proof operator processing specialist solution is for entry-level positions that perform basic daily bank operations procedures such as the processing of deposits, reconciling accounts, and handling money transfers. potential job titles include: proof operator, bank operations processor, and operations specialist.",https://www.shl.com/products/product-catalog/view/proof-operator-processing-specialist-short-form/,Yes,Yes,Knowledge & Skills,30,entry-level,english (usa),"proof operator, processing specialist, operations specialist, operator processing, operator bank",Proof Operator Processing Specialist Short Form,"Proof Operator - Processing Specialist -Short Form is the title, the proof operator processing specialist solution is for entry-level positions that perform basic daily bank operations procedures such as the processing of deposits, reconciling accounts, and handling money transfers. potential job titles include: proof operator, bank operations processor, and operations specialist. Yes, have adaptive support and Yes have remote support. Knowledge & Skills skills, duration is 30 min, it is a entry-level in english (usa) language, proof operator, processing specialist, operations specialist, operator processing, operator bank can be used."
Guest Services Associate Solution,"the guest services associate solution is designed for entry to mid-level customer service positions in the hospitality industry. the solution is for highly customer service focused positions with few to no sales components. sample tasks may include: providing information on entertainment, dining and transportation to guests, making dining recommendations to guests, arranging transportation for guests, and making reservations. potential job titles that use this solution are: concierge, guest services agent, club concierge, hotel concierge, front office manager and guest services associate. multiple configurations of this solution are available.",https://www.shl.com/products/product-catalog/view/guest-services-associate-solution/,Yes,Yes,"Personality & Behavior, Personality & Behavior, Knowledge & Skills",48,entry-level,english (usa),"guest services, concierge guest, guests, services associate, transportation guests",Guest Services Associate Solution,"Guest Services Associate Solution is the title, the guest services associate solution is designed for entry to mid-level customer service positions in the hospitality industry. the solution is for highly customer service focused positions with few to no sales components. sample tasks may include: providing information on entertainment, dining and transportation to guests, making dining recommendations to guests, arranging transportation for guests, and making reservations. potential job titles that use this solution are: concierge, guest services agent, club concierge, hotel concierge, front office manager and guest services associate. multiple configurations of this solution are available. Yes, have adaptive support and Yes have remote support. Personality & Behavior, Personality & Behavior, Knowledge & Skills skills, duration is 48 min, it is a entry-level in english (usa) language, guest services, concierge guest, guests, services associate, transportation guests can be used."
Accounts Payable Simulation (New),simulated data entry test that measures the ability to process payables and vendor invoices.,https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,Yes,Yes,Knowledge & Skills,8,"entry-level, graduate, mid-professional, professional individual contributor",english (usa),"payable simulation, accounts payable, process payables, simulated data, invoices",Accounts Payable Simulation,"Accounts Payable Simulation (New) is the title, simulated data entry test that measures the ability to process payables and vendor invoices. Yes, have adaptive support and Yes have remote support. Knowledge & Skills skills, duration is 8 min, it is a entry-level, graduate, mid-professional, professional individual contributor in english (usa) language, payable simulation, accounts payable, process payables, simulated data, invoices can be used."
ADO.NET (New),"multi-choice test that measures the knowledge on the concepts of ado.net architecture, components and data provider objects.",https://www.shl.com/products/product-catalog/view/ado-net-new/,Yes,Yes,Knowledge & Skills,10,"mid-professional, professional individual contributor",english (usa),"ado net, concepts ado, ado, net new, net architecture",ADONET,"ADO.NET (New) is the title, multi-choice test that measures the knowledge on the concepts of ado.net architecture, components and data provider objects. Yes, have adaptive support and Yes have remote support. Knowledge & Skills skills, duration is 10 min, it is a mid-professional, professional individual contributor in english (usa) language, ado net, concepts ado, ado, net new, net architecture can be used."
Entry Level Cashier 7.1 (International),"the entry level cashier 7.1 solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. potential job titles that use this solution are: cashier, sales associate, and clerk.",https://www.shl.com/products/product-catalog/view/entry-level-cashier-7-1-%28international%29/,Yes,Yes,"Personality & Behavior, Personality & Behavior",18,entry-level,english (usa),"level cashier, cashier solution, solution cashier, cashier sales, cashier",Entry Level Cashier,"Entry Level Cashier 7.1 (International) is the title, the entry level cashier 7.1 solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. potential job titles that use this solution are: cashier, sales associate, and clerk. Yes, have adaptive support and Yes have remote support. Personality & Behavior, Personality & Behavior skills, duration is 18 min, it is a entry-level in english (usa) language, level cashier, cashier solution, solution cashier, cashier sales, cashier can be used."
