Title,URL,RemoteTesting,Adaptive/IRT,TestTypes
Customer Service - Short Form,https://www.shl.com/products/product-catalog/view/customer-service-short-form/,True,True,"A, B, P"
Customer Service - Short Form - UK,https://www.shl.com/products/product-catalog/view/customer-service-short-form-uk/,True,True,"A, B, P"
Customer Service with Sales - Short Form,https://www.shl.com/products/product-catalog/view/customer-service-with-sales-short-form/,True,True,"A, B, P"
Director - Short Form,https://www.shl.com/products/product-catalog/view/director-short-form/,True,True,"A, B, P"
District/Regional Manager Solution,https://www.shl.com/products/product-catalog/view/districtregional-manager-solution/,True,True,"A, B, P"
Entry Level Cashier 7.1 (Americas),https://www.shl.com/products/product-catalog/view/entry-level-cashier-7-1-%28americas%29/,True,False,"B, P, A"
Entry Level Cashier 7.1 (International),https://www.shl.com/products/product-catalog/view/entry-level-cashier-7-1-%28international%29/,True,False,"A, B, P"
Entry Level Customer Service 7.1 (Americas),https://www.shl.com/products/product-catalog/view/entry-level-customer-service-7-1-%28americas%29/,True,False,"C, P"
Entry Level Customer Service 7.1 (International),https://www.shl.com/products/product-catalog/view/entry-level-customer-service-%28retail-and-cc%29-7-1/,True,False,"C, P"
Entry Level Customer Service 7.1 (South Africa),https://www.shl.com/products/product-catalog/view/entry-level-customer-service-7-1-%28south-africa%29/,True,False,"C, P"
Entry level Sales 7.1 (Americas),https://www.shl.com/products/product-catalog/view/entry-level-sales-7-1-%28americas%29/,True,False,"B, C, P"
Entry level Sales 7.1 (International),https://www.shl.com/products/product-catalog/view/entry-level-sales-7-1/,True,False,"P, B, C"
Entry Level Sales Sift Out 7.1,https://www.shl.com/products/product-catalog/view/entry-level-sales-sift-out-7-1/,True,False,"C, P, B"
Event Sales Manager Solution,https://www.shl.com/products/product-catalog/view/event-sales-manager-solution/,True,True,"S, A, B, P"
Executive - Short Form,https://www.shl.com/products/product-catalog/view/executive-short-form/,True,True,"A, B, P"
Financial Professional - Short Form,https://www.shl.com/products/product-catalog/view/financial-professional-short-form/,True,False,"A, B, P"
Financial Services Representative Solution,https://www.shl.com/products/product-catalog/view/financial-services-representative-solution/,True,False,"A, B, P"
Front Desk Associate Solution,https://www.shl.com/products/product-catalog/view/front-desk-associate-solution/,True,True,"A, B, P"
Gaming Associate Solution,https://www.shl.com/products/product-catalog/view/gaming-associate-solution/,True,True,"A, B, P, S"
Gaming Manager Solution,https://www.shl.com/products/product-catalog/view/gaming-manager-solution/,True,True,"S, A, B, K, P"
General Entry Level - All Industries 7.0 Solution,https://www.shl.com/products/product-catalog/view/general-entry-level-all-industries-7-0-solution/,True,False,B
General Entry Level - All Industries 7.1 Solution,https://www.shl.com/products/product-catalog/view/general-entry-level-all-industries-7-1-solution/,True,False,B
General Entry Level - All Industries 7.1(Americas),https://www.shl.com/products/product-catalog/view/general-entry-level-all-industries-7-1%28americas%29/,True,False,B
General Entry Level – Data Entry 7.0 Solution,https://www.shl.com/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/,True,False,"B, K"
Graduate + 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/graduate-8-0-job-focused-assessment/,True,False,"A, B, P"
Graduate 7.1 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/graduate-7-1-job-focused-assessment/,True,False,"B, C"
Graduate 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/graduate-8-0-job-focused-assessment-4228/,True,False,"P, B"
Guest Service Team 7.0 Solution,https://www.shl.com/products/product-catalog/view/guest-service-team-7-0-solution/,True,False,B
Guest Services Associate Solution,https://www.shl.com/products/product-catalog/view/guest-services-associate-solution/,True,True,"A, B, P, S"
Healthcare Aide 7.0 Solution,https://www.shl.com/products/product-catalog/view/healthcare-aide-7-0-solution/,True,False,B
Healthcare Call Center Agent Solution,https://www.shl.com/products/product-catalog/view/healthcare-call-center-agent-solution/,True,True,"A, B, P, S"
Healthcare Service Associate Solution,https://www.shl.com/products/product-catalog/view/healthcare-service-associate-solution/,True,True,"A, B, P"
Healthcare Support Specialist Solution,https://www.shl.com/products/product-catalog/view/healthcare-support-specialist-solution/,True,True,"A, B, P"
Home Health Aide Solution,https://www.shl.com/products/product-catalog/view/home-health-aide-solution/,True,True,"A, B, P"
Hospitality Manager Solution,https://www.shl.com/products/product-catalog/view/hospitality-manager-solution/,True,True,"A, B, K, P"
Host Solution,https://www.shl.com/products/product-catalog/view/host-solution/,True,True,"B, P"
Industrial - Entry Level 7.0 Solution,https://www.shl.com/products/product-catalog/view/industrial-entry-level-7-0-solution/,True,False,B
Industrial - Entry Level 7.1 (Americas),https://www.shl.com/products/product-catalog/view/industrial-entry-level-7-1-%28americas%29/,True,False,B
Industrial - Entry Level 7.1 (International),https://www.shl.com/products/product-catalog/view/industrial-entry-level-7-1-%28international%29/,True,False,B
Industrial - Professional and Skilled 7.0 Solution,https://www.shl.com/products/product-catalog/view/industrial-professional-and-skilled-7-0-solution/,True,True,"A, B"
Industrial - Semi-skilled 7.1 (Americas),https://www.shl.com/products/product-catalog/view/industrial-semi-skilled-7-1-%28americas%29/,True,False,B
Industrial - Semi-skilled 7.1 (International),https://www.shl.com/products/product-catalog/view/industrial-semi-skilled-7-1-%28international%29/,True,False,B
Industrial Professional and Skilled 7.1 (Americas),https://www.shl.com/products/product-catalog/view/industrial-professional-and-skilled-7-1-%28americas%29/,True,False,"A, B"
Industrial Professional and Skilled 7.1 Solution,https://www.shl.com/products/product-catalog/view/industrial-professional-and-skilled-7-1-solution/,True,False,"A, B"
Installation and Repair Technician Solution,https://www.shl.com/products/product-catalog/view/installation-and-repair-technician-solution/,True,True,"A, B, P, S"
Insurance Account Manager Solution,https://www.shl.com/products/product-catalog/view/insurance-account-manager-solution/,True,True,"A, B, P, S"
Insurance Administrative Assistant Solution,https://www.shl.com/products/product-catalog/view/insurance-administrative-assistant-solution/,True,True,"A, B, P, S"
Insurance Agent Solution,https://www.shl.com/products/product-catalog/view/insurance-agent-solution/,True,True,"A, B, P"
Insurance Director Solution,https://www.shl.com/products/product-catalog/view/insurance-director-solution/,True,True,"A, B, P"
Insurance Sales Manager Solution,https://www.shl.com/products/product-catalog/view/insurance-sales-manager-solution/,True,True,"A, B, P, S"
Manager - Short Form,https://www.shl.com/products/product-catalog/view/manager-short-form/,True,True,"A, B, K, P, S"
Manager + 7.0 Solution,https://www.shl.com/products/product-catalog/view/manager-7-0-solution-3955/,True,True,"A, B, C"
Manager + 7.1 (Americas),https://www.shl.com/products/product-catalog/view/manager-7-1-solution-4242/,True,True,"B, C, P"
Manager + 7.1 (International),https://www.shl.com/products/product-catalog/view/manager-7-1-%28international%29/,True,True,"B, C, P"
Manager 7.0 Solution,https://www.shl.com/products/product-catalog/view/manager-7-0-solution/,True,False,"B, C"
Manager 7.1 (Americas),https://www.shl.com/products/product-catalog/view/manager-7-1-%28americas%29/,True,False,"B, C, P"
Manager 7.1 (International),https://www.shl.com/products/product-catalog/view/manager-7-1-solution/,True,False,"B, C, P"
Manager 8.0 JFA,https://www.shl.com/products/product-catalog/view/manager-8-0-jfa/,True,False,"B, K, P"
Manager 8.0+ JFA,https://www.shl.com/products/product-catalog/view/manager-8-0-jfa-4310/,True,False,"B, K, P"
Manufacturing Production Team Member,https://www.shl.com/products/product-catalog/view/manufacturing-production-team-member/,True,False,"A, B"
Manufacturing Skilled Maintenance Worker,https://www.shl.com/products/product-catalog/view/manufacturing-skilled-maintenance-worker/,True,False,"A, B"
Network Engineer/Analyst Solution,https://www.shl.com/products/product-catalog/view/network-engineeranalyst-solution/,True,True,"P, S, K, B, A"
Nurse Leader Solution,https://www.shl.com/products/product-catalog/view/nurse-leader-solution/,True,True,"S, A, B, P"
Nurse Solution,https://www.shl.com/products/product-catalog/view/nurse-solution/,True,True,"P, A, B"
Nursing Assistant Solution,https://www.shl.com/products/product-catalog/view/nursing-assistant-solution/,True,False,"A, B, P"
Personal Banker - Short Form,https://www.shl.com/products/product-catalog/view/personal-banker-short-form/,True,False,"A, B, K, P, S"
Phone Banker - Short Form,https://www.shl.com/products/product-catalog/view/phone-banker-short-form/,True,False,"A, B, P"
Prep/Line Cook Solution,https://www.shl.com/products/product-catalog/view/prepline-cook-solution/,True,True,"A, B, P"
Professional + 7.0 Solution,https://www.shl.com/products/product-catalog/view/professional-7-0-solution-3958/,True,True,"A, B, C"
Professional + 7.1 (Americas),https://www.shl.com/products/product-catalog/view/professional-7-1-%28americas%29/,True,True,"B, C, P"
Professional + 7.1 (International),https://www.shl.com/products/product-catalog/view/professional-7-1-solution/,True,True,"B, C, P"
Professional 7.0 Solution,https://www.shl.com/products/product-catalog/view/professional-7-0-solution/,True,False,"B, C"
Professional 7.1 (International),https://www.shl.com/products/product-catalog/view/professional-7-1-solution-4247/,True,False,"C, B"
Professional 8.0 JFA,https://www.shl.com/products/product-catalog/view/professional-8-0-jfa/,True,False,"B, K, P"
Professional/Individual Contributor - Short Form,https://www.shl.com/products/product-catalog/view/professionalindividual-contributor-short-form/,True,True,"A, B, P, S"
Project Manager - Short Form,https://www.shl.com/products/product-catalog/view/project-manager-short-form/,True,True,"A, B, P, S"
Proof Operator - Processing Specialist -Short Form,https://www.shl.com/products/product-catalog/view/proof-operator-processing-specialist-short-form/,True,False,S
Reservation Agent Solution,https://www.shl.com/products/product-catalog/view/reservation-agent-solution/,True,True,"A, P, S, B"
Restaurant Manager Solution,https://www.shl.com/products/product-catalog/view/restaurant-manager-solution/,True,True,"A, B, P, S"
Restaurant Supervisor Solution,https://www.shl.com/products/product-catalog/view/restaurant-supervisor-solution/,True,True,"A, B, P"
Retail Consultant Solution,https://www.shl.com/products/product-catalog/view/retail-consultant-solution/,True,True,"A, B, P"
Retail Manager w/ Sales Solution,https://www.shl.com/products/product-catalog/view/retail-manager-w-sales-solution/,True,True,"A, B, P"
Retail Sales Associate Solution,https://www.shl.com/products/product-catalog/view/retail-sales-associate-solution/,True,True,"A, B, P"
Sales Director Solution,https://www.shl.com/products/product-catalog/view/sales-director-solution/,True,True,"A, B, P"
Sales Engineer Solution,https://www.shl.com/products/product-catalog/view/sales-engineer-solution/,True,True,"A, B, K, P, S"
Sales Manager Solution,https://www.shl.com/products/product-catalog/view/sales-manager-solution/,True,True,"A, B, P"
Sales Professional 7.0 Solution,https://www.shl.com/products/product-catalog/view/sales-professional-7-0-solution/,True,False,"C, B"
Sales Professional 7.1 (Americas),https://www.shl.com/products/product-catalog/view/sales-professional-7-1-%28americas%29/,True,False,"B, C"
Sales Professional Solution,https://www.shl.com/products/product-catalog/view/sales-professional-solution/,True,True,"A, B, P"
Sales Representative Solution,https://www.shl.com/products/product-catalog/view/sales-representative-solution/,True,True,"A, B, P"
Sales Supervisor Solution,https://www.shl.com/products/product-catalog/view/sales-supervisor-solution/,True,True,"A, B, P"
Sales Support Specialist Solution,https://www.shl.com/products/product-catalog/view/sales-support-specialist-solution/,True,True,"A, B, P"
Senior Insurance Agent Solution,https://www.shl.com/products/product-catalog/view/senior-insurance-agent-solution/,True,False,"A, B, P"
Senior Sales Professional Solution,https://www.shl.com/products/product-catalog/view/senior-sales-professional-solution/,True,True,"A, B, P"
Server Solution,https://www.shl.com/products/product-catalog/view/server-solution/,True,True,"B, A, P"
Service Associate Solution,https://www.shl.com/products/product-catalog/view/service-associate-solution/,True,True,"A, B, P"
Service Supervisor Solution,https://www.shl.com/products/product-catalog/view/service-supervisor-solution/,True,True,"A, B, P"
Stock Clerk Solution,https://www.shl.com/products/product-catalog/view/stock-clerk-solution/,True,False,"A, B, P"
Store Manager 7.0 Solution,https://www.shl.com/products/product-catalog/view/store-manager-7-0-solution/,True,False,"B, C"
Store Manager 7.1 (Americas),https://www.shl.com/products/product-catalog/view/store-manager-7-1-%28americas%29/,True,False,"B, C"
Store Manager 7.1 (International),https://www.shl.com/products/product-catalog/view/store-manager-7-1-%28international%29/,True,False,"C, B"
Store Manager Solution,https://www.shl.com/products/product-catalog/view/store-manager-solution/,True,True,"A, B, P"
Supervisor - Short Form,https://www.shl.com/products/product-catalog/view/supervisor-short-form/,True,True,S
Supervisor 7.0 Solution,https://www.shl.com/products/product-catalog/view/supervisor-7-0-solution/,True,False,"B, C"
Supervisor 7.1 (Americas),https://www.shl.com/products/product-catalog/view/supervisor-7-1-%28americas%29/,True,False,"B, C, P"
Supervisor 7.1 (International),https://www.shl.com/products/product-catalog/view/supervisor-7-1-%28international%29/,True,False,"P, C, B"
Support Associate Solution,https://www.shl.com/products/product-catalog/view/support-associate-solution/,True,True,"A, B, P"
Support Supervisor Solution,https://www.shl.com/products/product-catalog/view/support-supervisor-solution/,True,True,"A, P, S, B"
Technical Sales Associate Solution,https://www.shl.com/products/product-catalog/view/technical-sales-associate-solution/,True,False,"A, B, P"
Technician/Technologist Solution,https://www.shl.com/products/product-catalog/view/techniciantechnologist-solution/,True,True,"A, B, P"
Technology Professional 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/technology-professional-8-0-job-focused-assessment/,True,False,"C, P"
Telenurse Solution,https://www.shl.com/products/product-catalog/view/telenurse-solution/,True,True,"A, B, P"
Teller 7.0,https://www.shl.com/products/product-catalog/view/teller-7-0/,True,True,"B, K, P, S"
Teller with Sales - Short Form,https://www.shl.com/products/product-catalog/view/teller-with-sales-short-form/,True,False,"A, B, K, P, S"
Transcriptionist Solution,https://www.shl.com/products/product-catalog/view/transcriptionist-solution/,True,True,"A, B, K, P"
Workplace Safety - Individual 7.0 Solution,https://www.shl.com/products/product-catalog/view/workplace-safety-individual-7-0-solution/,True,False,B
Workplace Safety - Individual 7.1 (Americas),https://www.shl.com/products/product-catalog/view/workplace-safety-individual-7-1-solution/,True,False,B
Workplace Safety - Team 7.0 Solution,https://www.shl.com/products/product-catalog/view/workplace-safety-team-7-0-solution/,True,False,B
Workplace Safety - Team 7.1 (Americas),https://www.shl.com/products/product-catalog/view/workplace-safety-team-7-1-%28americas%29/,True,False,"B, C, P"
Workplace Safety - Team 7.1 (International),https://www.shl.com/products/product-catalog/view/workplace-safety-team-7-1-solution/,True,False,"B, C, P"
Workplace Safety Solution,https://www.shl.com/products/product-catalog/view/workplace-safety-solution/,True,True,"B, P"
