title,description,job_levels,languages,duration_minutes,test_type,is_remote,url,is_adaptive
Manufacturing Skilled Maintenance Worker,"the manufacturing skilled maintenance solution is designed for entry-level positions to measure the behaviors and experiences that underlie successful and safe performance in the workplace. this solution measures a candidates mechanical comprehension abilities and general tendency to behave safely and efficiently in the workplace. this solution uses a variety of assessment types including measures of personality traits, safety-related situational judgment, and mechanical comprehension. the manufacturing skilled maintenance solution is designed for selection to job titles, such as: industrial machinery mechanic, automotive service technician, small engine mechanic, mobile equipment service technician, and diesel service technician.","['Entry-Level', '']","['English (USA)', '']",45,"['Ability', 'Behavioral']",TRUE,https://www.shl.com/products/product-catalog/view/manufacturing-skilled-maintenance-worker/,FALSE
.NET MVC (New),"multi-choice test that measures the knowledge of model-view-controller (mvc) architecture, validation, security, routing, and areas.","['Mid-Professional', ' Professional Individual Contributor', '']","['English (USA)', '']",17,['K'],TRUE,https://www.shl.com/products/product-catalog/view/net-mvc-new/,FALSE
General Entry Level - All Industries 7.1(Americas),"our general entry level all industries 7.1 solution is designed for entry-level positions across industries. this solution predicts the following types of behaviors foundational to all jobs: being on-time to work; following rules and policies; treating others respectfully; producing quality work; meeting goals; and effectively working alongside others. solution can be used across all industries with entry-level positions. example titles include, but are not limited to: administrator, clerk, veterinary assistant, stocker, dish washer, office coordinator, tour guide, cook, assistant, housekeeper, waste collector.","['Entry-Level', '']","['Portuguese (Brazil)', ' French (Canada)', ' English (USA)', ' Latin American Spanish', '']",19,['Behavioral'],TRUE,https://www.shl.com/products/product-catalog/view/general-entry-level-all-industries-7-1%28americas%29/,FALSE
Claims/Operations Supervisor Solution,"the claims/operations supervisor solution is for entry-level management positions that involve supervising hourly employees. sample tasks for this job include, but are not limited to: planning and preparing work schedules; assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks; developing employees skills; training subordinates; prioritizing multiple tasks and priorities; making day-to-day decisions with minimal guidance from others. potential job titles that use this solution are: team leader, coach, first line supervisor, claims supervisor, operations supervisor, and customer service supervisor. multiple configurations of this solution are available.","['Manager', '']","['English (USA)', '']",48,"['Personality', 'Skills', 'Ability', 'Behavioral']",TRUE,https://www.shl.com/products/product-catalog/view/claimsoperations-supervisor-solution/,TRUE
Healthcare Service Associate Solution,"the healthcare service associate solution is for entry-level positions in a healthcare environment that require the employee to interact with patients. sample tasks for this job include, but are not limited to: delivering food to patients, cleaning patient rooms, and welcoming guests to the hospital. potential job titles that use this solution are: housekeepers, dietary aides, and guest services coordinator. there are multiple configurations and versions of this solution available.","['Entry-Level', '']","['English (USA)', '']",37,"['Ability', 'Behavioral', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/healthcare-service-associate-solution/,TRUE
Installation and Repair Technician Solution,"the installation and repair technician solution is designed for use with entry-level field technician positions in the telecommunications industry. the solution is focused on positions that involve installing, repairing, and maintaining telecommunications equipment, along with some customer interaction, and little to no specific sales components. sample tasks may include: installing or repairing end-user telecommunications equipment and services, interacting with customers, and installing, or repairing telecommunications network infrastructure. potential job titles that use this solution are: installer, service technician, and customer installation technician. there are multiple configurations of this solution available.","['Professional Individual Contributor', '']","['English (USA)', '']",49,"['Ability', 'Behavioral', 'Personality', 'Skills']",TRUE,https://www.shl.com/products/product-catalog/view/installation-and-repair-technician-solution/,TRUE
Service Supervisor Solution,"the service supervisor solution is designed for entry-level leadership positions in the hospitality industry that oversee hourly and salaried employees in customer facing positions (e.g. front desk associate, concierge, guest service associate). individuals in these roles perform many of hte duties of the employees they supervise. sample tasks may include: assisting challenging guests, coaching employees on their customer service skills, taking corrective action when an employee is performing poorly, and monitoring employees to assess the satisfactory completion of tasks. potential job titles that use this solution are: front desk manager, guest services supervisor, and front desk supervisor. multiple configurations of this solution are available.","['Front Line Manager', ' Manager', ' Supervisor', '']","['English (USA)', '']",48,"['Ability', 'Behavioral', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/service-supervisor-solution/,TRUE
Industrial - Semi-skilled 7.1 (Americas),"our industrial semi-skilled 7.1 solution is designed for entry-level positions and measures the behaviors and experiences that underlie successful and safe performance for production workers. the solution assesses behaviors and competencies foundational to industrial roles including: following policies and procedures; applying relevant trade skills; wearing required protective equipment; working with or monitoring equipment; producing high quality work; effectively working with others; and maintaining an orderly work environment. potential job titles that use this solution include: production and assembly worker, construction worker, extraction technician. please note this package is in americas norm.","['Entry-Level', '']","['English (USA)', ' Portuguese (Brazil)', ' French (Canada)', '']",24,['Behavioral'],TRUE,https://www.shl.com/products/product-catalog/view/industrial-semi-skilled-7-1-%28americas%29/,FALSE
Insurance Account Manager Solution,"the insurance account manager solution is for mid-level insurance professionals that manage the day-to-day operations and activities of customer accounts. sample tasks for this job include, but are not limited to: soliciting sales of new or additional products or services; interacting with customers to provide information in response to inquiries about products and services and to handle and resolve complaints; keeping records of customer interactions and transactions; resolving customers service or billing complaints; determining charges for services requested; collecting deposits or payments; and arranging for billing. potential job titles that use this solution are: account executive, account manager, and senior account manager. multiple configurations of this solution are available.","['Mid-Professional', '']","['English (USA)', '']",48,"['Ability', 'Behavioral', 'Personality', 'Skills']",TRUE,https://www.shl.com/products/product-catalog/view/insurance-account-manager-solution/,TRUE
Server Solution,"the server solution is designed for entry-level positions in the hospitality industry. sample tasks include greeting customers, taking customer food and drink orders and delivering food items to guests. the solution is focused on work ethic, customer focus and sales. potential job titles that use this solution are: server and waiter/waitress. multiple configurations of this solution are available.","['Entry-Level', '']","['English (USA)', '']",40,"['Behavioral', 'Ability', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/server-solution/,TRUE
Proof Operator - Processing Specialist -Short Form,"the proof operator processing specialist solution is for entry-level positions that perform basic daily bank operations procedures such as the processing of deposits, reconciling accounts, and handling money transfers. potential job titles include: proof operator, bank operations processor, and operations specialist.","['Entry-Level', '']","['English (USA)', '']",30,['Skills'],TRUE,https://www.shl.com/products/product-catalog/view/proof-operator-processing-specialist-short-form/,FALSE
Guest Services Associate Solution,"the guest services associate solution is designed for entry to mid-level customer service positions in the hospitality industry. the solution is for highly customer service focused positions with few to no sales components. sample tasks may include: providing information on entertainment, dining and transportation to guests, making dining recommendations to guests, arranging transportation for guests, and making reservations. potential job titles that use this solution are: concierge, guest services agent, club concierge, hotel concierge, front office manager and guest services associate. multiple configurations of this solution are available.","['Entry-Level', '']","['English (USA)', '']",48,"['Ability', 'Behavioral', 'Personality', 'Skills']",TRUE,https://www.shl.com/products/product-catalog/view/guest-services-associate-solution/,TRUE
Accounts Payable Simulation (New),simulated data entry test that measures the ability to process payables and vendor invoices.,"['Entry-Level', ' Graduate', ' Mid-Professional', ' Professional Individual Contributor', '']","['English (USA)', '']",8,['Skills'],TRUE,https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,FALSE
ADO.NET (New),"multi-choice test that measures the knowledge on the concepts of ado.net architecture, components and data provider objects.","['Mid-Professional', ' Professional Individual Contributor', '']","['English (USA)', '']",10,['K'],TRUE,https://www.shl.com/products/product-catalog/view/ado-net-new/,FALSE
Entry Level Cashier 7.1 (International),"the entry level cashier 7.1 solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. potential job titles that use this solution are: cashier, sales associate, and clerk.","['Entry-Level', '']","['English (USA)', '']",18,"['Ability', 'Behavioral', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/entry-level-cashier-7-1-%28international%29/,FALSE
Industrial - Entry Level 7.1 (Americas),"our industrial entry level 7.1 solution is designed for entry-level positions, and measures the behaviors and experiences that underlie successful and safe performance in general or light industrial roles. the solution covers a wide variety of entry-level positions, and assesses behaviors including: following policies and procedures; general facility upkeep; producing high quality work; maintaining an orderly work environment; wearing required protective equipment; and being thorough. potential job titles that use this solution include: laborer, custodians, building and grounds maintenance workers, handyman. important! please note that you will need to select the correct package depending on which norm you intend to use. the package available for this product is international and americas.","['Entry-Level', '']","['English (USA)', ' French (Canada)', ' Portuguese (Brazil)', ' Latin American Spanish', '']",20,['Behavioral'],TRUE,https://www.shl.com/products/product-catalog/view/industrial-entry-level-7-1-%28americas%29/,FALSE
Bank Operations Supervisor - Short Form,"the bank operations supervisor solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees skills ; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others. potential job titles that use this solution are: team leader, first line supervisor, processing supervisor, call center supervisor, and customer service supervisor. there are multiple configurations and versions of this solution available.","['Front Line Manager', ' Manager', ' Supervisor', '']","['English (USA)', '']",45,"['Ability', 'Behavioral', 'Personality', 'Skills']",TRUE,https://www.shl.com/products/product-catalog/view/bank-operations-supervisor-short-form/,TRUE
Retail Consultant Solution,"the retail consultant solution is for entry to mid-level retail positions in which employees proactively sell products to customers, develop relationships with repeat customers, and have their pay and/or performance heavily based on sales revenue. sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and building ongoing customer relationships. potential job titles that use this solution are: sales consultant, sales representative, and retail sales associate. there are multiple configurations and versions of this solution available.","['Entry-Level', '']","['English (USA)', '']",45,"['Ability', 'Behavioral', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/retail-consultant-solution/,TRUE
Telenurse Solution,"the telenurse solution is for positions in a healthcare environment that interact with patients over the telephone. sample tasks for this job include, but are not limited to: accurately understanding patients symptoms via the telephone, systematically working through patient symptoms to arrive at the correct diagnosis, and recalling facts from the call for documentation. potential job titles that use this solution are: telenurse, telephone nurse, or on call nurse. multiple configurations of this solution are available.","['Mid-Professional', '']","['English (USA)', '']",68,"['Ability', 'Behavioral', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/telenurse-solution/,TRUE
Apprentice 8.0 Job Focused Assessment,"the apprentice 8.0 job-focused assessment is a short, targeted, globally applicable assessment. this assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. it is intended to be used multi-nationally for organizations whose business spans across regions.","['Entry-Level', ' General Population', ' Graduate', '']","['English International', ' German', ' French', '']",20,"['Behavioral', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,FALSE
Entry Level Cashier 7.1 (Americas),"the entry level cashier 7.1 solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. potential job titles that use this solution are: cashier, sales associate, and clerk.","['Entry-Level', '']","['French (Canada)', ' Latin American Spanish', ' English (USA)', ' English International', '']",18,"['Behavioral', 'Personality', 'Ability']",TRUE,https://www.shl.com/products/product-catalog/view/entry-level-cashier-7-1-%28americas%29/,FALSE
Professional 7.0 Solution,"our professional 7.0 solution is designed for all non-managerial professional individual contributor positions. sample tasks for these jobs include, but are not limited to: gathering requirements, analyzing data, managing projects, producing products or services. report language availability: english (usa), latin american spanish.","['Mid-Professional', ' Professional Individual Contributor', '']","['English (USA)', ' English International', ' French (Canada)', ' Latin American Spanish', '']",33,"['Behavioral', 'Cognitive']",TRUE,https://www.shl.com/products/product-catalog/view/professional-7-0-solution/,FALSE
Workplace Safety - Individual 7.1 (Americas),"our workplace safety - individual 7.1 solution is designed for entry-level positions and measures the behaviors and experiences that underlie successful and safe performance with more individually-oriented roles or work environments. the solution assesses behaviors and competencies foundational to safety across a wide range of jobs, including: following policies and procedures; wearing required protective equipment; safely operating vehicles and/or machinery; taking action in unsafe situations; and producing high quality work. industries and environments with entry-level positions that use this solution are: warehouse, healthcare, delivery and logistics, food handling and preparation, assembly and installation, transportation, manufacturing and processing, construction, drivers, oil and gas, and mining.","['Entry-Level', '']","['Portuguese (Brazil)', ' English (USA)', ' French (Canada)', ' Latin American Spanish', '']",16,['Behavioral'],TRUE,https://www.shl.com/products/product-catalog/view/workplace-safety-individual-7-1-solution/,FALSE
Sales Engineer Solution,"the sales engineer solution is designed for use with professional level telecommunications engineers with distinct sales responsibilities. the solution is focused on positions that involve the design of telecommunications networks for specific customer applications, and places an emphasis on reasoning ability and sales ability. sample tasks may include: designing network solutions to meet customer needs, communicating technical information to all levels of clients participating in the sales process, assisting or owning the sales process, and ensuring proper implementation of contracted equipment and services. potential job titles that use this solution are: sales engineer, senior technical consultant, and technical sales lead. there are multiple configurations of this solution available.","['Professional Individual Contributor', '']","['English (USA)', '']",61,"['Ability', 'Behavioral', 'K', 'Personality', 'Skills']",TRUE,https://www.shl.com/products/product-catalog/view/sales-engineer-solution/,TRUE
Insurance Director Solution,"the insurance director solution is for senior-level management positions in the insurance companies that oversee sales functions across multiple brokerages, offices, or agencies or geographic territories. sample tasks for this job includes, but is not limited to: directing a group of sales managers or agency managers; having profit and loss responsibility for a district or region; and aligning work with overall company goals. potential job titles that use this solution are: regional managers, associate directors, and managing directors. multiple configurations of this solution are available.","['Director', ' Front Line Manager', ' Manager', ' Supervisor', '']","['English (USA)', '']",49,"['Ability', 'Behavioral', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/insurance-director-solution/,TRUE
Home Health Aide Solution,"the home health aide solution is for entry-level positions in an in-home or group home environment. sample tasks for this job include, but are not limited to: monitoring vital signs and medication intake, administering bedside and personal care such as ambulation and personal hygiene, and preparing and maintaining records of patient progress and services performed. potential job titles that use this solution are: personal care aide, home health aide, residential assistant, and certified nursing assistant. there are multiple configurations and versions of this solution available.","['Entry-Level', '']","['English (USA)', '']",41,"['Ability', 'Behavioral', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/home-health-aide-solution/,TRUE
Retail Sales Associate Solution,"the retail sales associate solution is for entry-level retail positions in which employees proactively sell products to customers and have their pay and/or performance based on sales revenue. sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer. potential job titles that use this solution are: sales representative, retail sales associate, and sales clerk. there are multiple configurations and versions of this solution available.","['Entry-Level', '']","['English (USA)', '']",29,"['Ability', 'Behavioral', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/retail-sales-associate-solution/,TRUE
Global Skills Development Report,"this report is designed to be given to individuals who have completed the global skills assessment (gsa). with coverage across the great 8 domains, this measure of self-reported behaviors offers a complete overview of their current skills. participants receive actionable tips on leveraging their top skill strengths and how they might develop their growth skills.","['Director', ' Entry-Level', ' Executive', ' General Population', ' Graduate', ' Manager', ' Mid-Professional', ' Front Line Manager', ' Supervisor', '']",[''],0,"['Ability', 'E', 'Behavioral', 'Cognitive', 'D', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/global-skills-development-report/,FALSE
Front Desk Associate Solution,"the front desk associate solution is designed for entry-level customer service positions in the hospitality industry. the solution is appropriate for positions in which the majority of work is done at the front or guest check-in desk. sample tasks may include: welcoming guests warmly, issuing keys to guests, tabulating guest bills and accpeting payment. potential job titles that use this solution are: front desk clerk, guest desk attendant, guest check-in associate, or front office agent. multiple configurations of this solution are available.","['Entry-Level', '']","['English (USA)', '']",50,"['Ability', 'Behavioral', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/front-desk-associate-solution/,TRUE
Industrial Professional and Skilled 7.1 (Americas),"our industrial professional and skilled 7.1 solution is designed to measure the behaviors and experiences that underlie successful and safe performance in the workplace for specialized technical or professional industrial roles. this solution assesses mechanical comprehension and other foundational behaviors including: behaving safely and efficiently in the workplace; installing, repairing, and/or maintaining equipment and machinery; making sound mechanical decisions; maintaining an orderly work environment; and producing high quality and reliable work. important! please note that you will need to select the correct package depending on which norm you intend to use. the package available for this product is international and americas.","['Entry-Level', '']","['Portuguese (Brazil)', ' English (USA)', ' French (Canada)', '']",49,"['Ability', 'Behavioral']",TRUE,https://www.shl.com/products/product-catalog/view/industrial-professional-and-skilled-7-1-%28americas%29/,FALSE
Supervisor 7.1 (Americas),"our supervisor 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees. sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees skills; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others. report language availability: english (usa), canadian french, brazilian portuguese. important! please note that you will need to select the correct package depending on which norm you intend to use. the package available for this product is international and americas.","['Front Line Manager', ' Supervisor', '']","['Portuguese (Brazil)', ' French (Canada)', ' English (USA)', '']",29,"['Behavioral', 'Cognitive', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/supervisor-7-1-%28americas%29/,FALSE
Bilingual Spanish Reservation Agent Solution,"the bilingual reservation agent solution is designed for customer centered entry-level positions within the hospitality industry. sample tasks may include making, updating, or canceling hotel reservations made in english or spanish; listening to customers speak spanish and entering information into a computer in english; providing information on the hotel and the services offered. potential job titles that use this solution are: bilingual reservation agent, customer service representative and reservationist. multiple configurations of this solution are available.","['Entry-Level', '']","['English (USA)', ' Latin American Spanish', '']",43,"['Behavioral', 'Personality', 'Skills', 'Ability']",TRUE,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,TRUE
Contact Center Customer Service 8.0,the customer service 8.0 jfa is designed for entry-level positions in a contact center environment where the main focus is customer service.,"['Entry-Level', '']","['English (USA)', ' German', ' Portuguese (Brazil)', ' English International', ' Latin American Spanish', ' French (Canada)', ' French', '']",31,"['Skills', 'Behavioral', 'Cognitive', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/contact-center-customer-service-8-0-4269/,FALSE
Manager + 7.0 Solution,"our manager 7.0 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees, and includes shls new innovative mobile-first ability assessment, verify interactive deductive reasoning. sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees and customers problems. report language availability: english (usa).","['Front Line Manager', ' Manager', '']","['English (USA)', ' English International', '']",53,"['Ability', 'Behavioral', 'Cognitive']",TRUE,https://www.shl.com/products/product-catalog/view/manager-7-0-solution-3955/,TRUE
Graduate 7.1 Job Focused Assessment,the graduate 7.1 job focused assessment is designed for professional level positions appropriate for recent college graduates.,"['Graduate', '']","['Chinese Simplified', ' English (USA)', ' French', ' German', ' English International', ' Italian', ' Japanese', ' Latin American Spanish', ' Polish', ' Russian', ' Swedish', ' Dutch', ' Portuguese (Brazil)', '']",19,"['Behavioral', 'Cognitive']",TRUE,https://www.shl.com/products/product-catalog/view/graduate-7-1-job-focused-assessment/,FALSE
Manager 7.1 (International),"our manager 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees. sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees and customers problems. report language availability: english (usa), danish, finnish, canadian french, italian, norwegian, french, german, english international,. important! please note that you will need to select the correct package depending on which norm you intend to use. the package available for this product is international.","['Director', ' Executive', ' Front Line Manager', ' Manager', '']","['English (USA)', ' English International', ' French', ' German', ' Portuguese (Brazil)', ' Danish', ' Finnish', ' Italian', ' Norwegian', ' Swedish', ' Dutch', ' French (Canada)', '']",40,"['Behavioral', 'Cognitive', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/manager-7-1-solution/,FALSE
Support Supervisor Solution,"the support supervisor solution is designed for entry-level leadership positions in the hospitality industry that oversee hourly employees in non-customer facing support positions (e.g. janitors, laundry workers, grounds crew). individuals in these roles may perform many of the duties of the employees they supervise. sample tasks may include: assigning work tasks, taking corrective action when an employee is performing poorly, and monitoring employees to assess the satisfactory completion of tasks. potential job titles that use this solution are: head custodian, maintenance supervisor, buildings and grounds supervisor, facilities manager, housekeeping supervisor, building and grounds director and housekeepig director. multiple configurations of this solution are available.","['Front Line Manager', ' Manager', ' Supervisor', '']","['English (USA)', '']",39,"['Ability', 'Personality', 'Skills', 'Behavioral']",TRUE,https://www.shl.com/products/product-catalog/view/support-supervisor-solution/,TRUE
Phone Banker - Short Form,"this solution is for entry to mid-level financial institution positions. candidates are asked to answer multiple choice questions to assess learning potential, dependability, persistence and planfulness, sales focus, customer focus, and working with information.","['Entry-Level', ' Mid-Professional', '']","['English (USA)', '']",40,"['Ability', 'Behavioral', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/phone-banker-short-form/,FALSE
Restaurant Supervisor Solution,"the restaurant supervisor solution is designed for management level positions in the hospitality industry. sample tasks include serving as a staff resource, setting schedules and monitoring daily operations. the solution is focused on solving problems, making good decisions and maintaining focus on the customer. potential job titles that use this solution are: restaurant supervisor and restaurant staff supervisor. multiple configurations of this solution are available.","['Front Line Manager', ' Manager', ' Supervisor', '']","['English (USA)', '']",53,"['Ability', 'Behavioral', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/restaurant-supervisor-solution/,TRUE
Professional + 7.1 (Americas),"our professional 7.1 solution is designed for all non-managerial professional individual contributor positions, and includes shls new innovative mobile-first ability assessment, verify interactive deductive reasoning. sample tasks for these jobs include, but are not limited to: gathering requirements, analyzing data, managing projects, producing products or services.","['General Population', ' Mid-Professional', ' Professional Individual Contributor', '']","['Latin American Spanish', '']",56,"['Behavioral', 'Cognitive', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/professional-7-1-%28americas%29/,TRUE
