Title,URL,RemoteTesting,Adaptive/IRT,TestTypes
Apache Spark (New),https://www.shl.com/products/product-catalog/view/apache-spark-new/,True,False,K
ASP .NET with C# (New),https://www.shl.com/products/product-catalog/view/asp-net-with-c-new/,True,False,K
ASP.NET 4.5,https://www.shl.com/products/product-catalog/view/asp-net-4-5/,True,True,K
Assessment and Development Center Exercises,https://www.shl.com/products/product-catalog/view/assessment-and-development-center-exercises/,True,False,E
Automata - Fix (New),https://www.shl.com/products/product-catalog/view/automata-fix-new/,True,False,S
Automata - SQL (New),https://www.shl.com/products/product-catalog/view/automata-sql-new/,True,False,S
Automata (New),https://www.shl.com/products/product-catalog/view/automata-new/,True,False,S
Automata Data Science (New),https://www.shl.com/products/product-catalog/view/automata-data-science-new/,True,False,S
Automata Data Science Pro (New),https://www.shl.com/products/product-catalog/view/automata-data-science-pro-new/,True,False,S
Automata Front End,https://www.shl.com/products/product-catalog/view/automata-front-end/,True,False,S
Automata Pro (New),https://www.shl.com/products/product-catalog/view/automata-pro-new/,True,False,S
Automata Selenium,https://www.shl.com/products/product-catalog/view/automata-selenium/,True,False,S
Automation Anywhere RPA Development (New),https://www.shl.com/products/product-catalog/view/automation-anywhere-rpa-development-new/,True,False,K
Automotive Engineering (New),https://www.shl.com/products/product-catalog/view/automotive-engineering-new/,True,False,K
Basic Biology (New),https://www.shl.com/products/product-catalog/view/basic-biology-new/,True,False,K
Basic Computer Literacy (Windows 10) (New),https://www.shl.com/products/product-catalog/view/basic-computer-literacy-windows-10-new/,True,False,"S, K"
Basic Statistics (New),https://www.shl.com/products/product-catalog/view/basic-statistics-new/,True,False,K
Biochemistry (New),https://www.shl.com/products/product-catalog/view/biochemistry-new/,True,False,K
Biotech Lab Techniques (New),https://www.shl.com/products/product-catalog/view/biotech-lab-techniques-new/,True,False,K
BizTalk (New),https://www.shl.com/products/product-catalog/view/biztalk-new/,True,False,K
Business Communication (adaptive),https://www.shl.com/products/product-catalog/view/business-communication-adaptive/,True,True,K
Business Communications,https://www.shl.com/products/product-catalog/view/business-communications/,True,False,K
C Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new/,True,False,K
C# Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new-4039/,True,False,K
C++ Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new-4122/,True,False,K
Cardiology and Diabetes Management (New),https://www.shl.com/products/product-catalog/view/cardiology-and-diabetes-management-new/,True,False,K
Ceramic Engineering (New),https://www.shl.com/products/product-catalog/view/ceramic-engineering-new/,True,False,K
Chemical Engineering (New),https://www.shl.com/products/product-catalog/view/chemical-engineering-new/,True,False,K
Cisco AppDynamics (New),https://www.shl.com/products/product-catalog/view/cisco-appdynamics-new/,True,False,K
Civil Engineering (New),https://www.shl.com/products/product-catalog/view/civil-engineering-new/,True,False,K
Cloud Computing (New),https://www.shl.com/products/product-catalog/view/cloud-computing-new/,True,False,K
COBOL Programming (New),https://www.shl.com/products/product-catalog/view/cobol-programming-new/,True,False,K
Computer Science (New),https://www.shl.com/products/product-catalog/view/computer-science-new/,True,False,K
Contact Center Call Simulation (New),https://www.shl.com/products/product-catalog/view/contact-center-call-simulation-new/,True,False,S
Conversational Multichat Simulation,https://www.shl.com/products/product-catalog/view/conversational-multichat-simulation/,True,False,S
Core Java (Advanced Level) (New),https://www.shl.com/products/product-catalog/view/core-java-advanced-level-new/,True,False,K
Core Java (Entry Level) (New),https://www.shl.com/products/product-catalog/view/core-java-entry-level-new/,True,False,K
Count Out The Money,https://www.shl.com/products/product-catalog/view/count-out-the-money/,True,True,"K, S"
CSS3 (New),https://www.shl.com/products/product-catalog/view/css3-new/,True,False,K
Culinary Skills (New),https://www.shl.com/products/product-catalog/view/culinary-skills-new/,True,False,K
Customer Service Phone Simulation,https://www.shl.com/products/product-catalog/view/customer-service-phone-simulation/,True,False,"B, S"
Customer Service Phone Solution,https://www.shl.com/products/product-catalog/view/customer-service-phone-solution/,True,False,"B, P, S"
Cyber Risk (New),https://www.shl.com/products/product-catalog/view/cyber-risk-new/,True,False,K
Data Entry (New),https://www.shl.com/products/product-catalog/view/data-entry-new/,True,False,S
Data Entry Alphanumeric Split Screen - US,https://www.shl.com/products/product-catalog/view/data-entry-alphanumeric-split-screen-us/,True,False,K
Data Entry Numeric Split Screen - US,https://www.shl.com/products/product-catalog/view/data-entry-numeric-split-screen-us/,True,False,K
Data Entry Ten Key Split Screen,https://www.shl.com/products/product-catalog/view/data-entry-ten-key-split-screen/,True,False,K
Data Science (New),https://www.shl.com/products/product-catalog/view/data-science-new/,True,False,K
Data Warehousing Concepts,https://www.shl.com/products/product-catalog/view/data-warehousing-concepts/,True,True,K
Dependability and Safety Instrument (DSI),https://www.shl.com/products/product-catalog/view/dependability-and-safety-instrument-dsi/,True,False,P
Dermatology (New),https://www.shl.com/products/product-catalog/view/dermatology-new/,True,False,K
Desktop Support (New),https://www.shl.com/products/product-catalog/view/desktop-support-new/,True,False,K
Digital Advertising (New),https://www.shl.com/products/product-catalog/view/digital-advertising-new/,True,False,K
Digital Readiness Development Report - IC,https://www.shl.com/products/product-catalog/view/digital-readiness-development-report/,True,False,P
Digital Readiness Development Report - Manager,https://www.shl.com/products/product-catalog/view/digital-readiness-development-report-manager/,True,False,P
Docker (New),https://www.shl.com/products/product-catalog/view/docker-new/,True,False,K
Dojo (New),https://www.shl.com/products/product-catalog/view/dojo-new/,True,False,K
Drupal (New),https://www.shl.com/products/product-catalog/view/drupal-new/,True,False,K
DSI v1.1 Interpretation Report,https://www.shl.com/products/product-catalog/view/dsi-v1-1-interpretation-report/,True,False,P
Econometrics (New),https://www.shl.com/products/product-catalog/view/econometrics-new/,True,False,K
Economics (New),https://www.shl.com/products/product-catalog/view/economics-new/,True,False,K
Electrical and Electronics Engineering (New),https://www.shl.com/products/product-catalog/view/electrical-and-electronics-engineering-new/,True,False,K
Electrical Engineering (New),https://www.shl.com/products/product-catalog/view/electrical-engineering-new/,True,False,K
Electronics & Telecommunications Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-telecommunications-engineering-new/,True,False,K
Electronics and Embedded Systems Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-embedded-systems-engineering-new/,True,False,K
Electronics and Semiconductor Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-semiconductor-engineering-new/,True,False,K
English Comprehension (New),https://www.shl.com/products/product-catalog/view/english-comprehension-new/,True,False,K
Enterprise Java Beans (New),https://www.shl.com/products/product-catalog/view/enterprise-java-beans-new/,True,False,K
Enterprise Leadership Report 1.0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report/,True,False,P
Enterprise Leadership Report 2.0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report-2-0/,True,False,P
Entry Level Cashier Solution,https://www.shl.com/products/product-catalog/view/entry-level-cashier-solution/,True,False,"C, P"
Entry Level Customer Serv-Retail & Contact Center,https://www.shl.com/products/product-catalog/view/entry-level-customer-serv-retail-and-contact-center/,True,False,"P, C"
Entry Level Customer Service (General) Solution,https://www.shl.com/products/product-catalog/view/entry-level-customer-service-general-solution/,True,False,"C, P"
Entry Level Hotel Front Desk Solution,https://www.shl.com/products/product-catalog/view/entry-level-hotel-front-desk-solution/,True,False,"C, P"
Entry Level Sales Solution,https://www.shl.com/products/product-catalog/view/entry-level-sales-solution/,True,False,"C, P"
Entry Level Technical Support Solution,https://www.shl.com/products/product-catalog/view/entry-level-technical-support-solution/,True,False,"P, C"
ETL Testing (New),https://www.shl.com/products/product-catalog/view/etl-testing-new/,True,False,K
Executive Scenarios,https://www.shl.com/products/product-catalog/view/executive-scenarios/,True,False,B
Executive Scenarios Narrative Report,https://www.shl.com/products/product-catalog/view/executive-scenarios-narrative-report/,True,False,B
Executive Scenarios Profile Report,https://www.shl.com/products/product-catalog/view/executive-scenarios-profile-report/,True,False,B
ExpressJS (New),https://www.shl.com/products/product-catalog/view/expressjs-new/,True,False,K
Filing - Names (R1),https://www.shl.com/products/product-catalog/view/filing-names-r1/,True,False,K
Filing - Numbers,https://www.shl.com/products/product-catalog/view/filing-numbers/,True,False,K
Financial Accounting (New),https://www.shl.com/products/product-catalog/view/financial-accounting-new/,True,False,K
Financial and Banking Services (New),https://www.shl.com/products/product-catalog/view/financial-and-banking-services-new/,True,False,K
Fire Engineering (New),https://www.shl.com/products/product-catalog/view/fire-engineering-new/,True,False,K
Following Instructions v1 - UK (R1),https://www.shl.com/products/product-catalog/view/following-instructions-v1-uk-r1/,True,False,K
Following Instructions v1 - US (R2),https://www.shl.com/products/product-catalog/view/following-instructions-v1-us-r2/,True,False,K
Food and Beverage Services (New),https://www.shl.com/products/product-catalog/view/food-and-beverage-services-new/,True,False,K
Food Science (New),https://www.shl.com/products/product-catalog/view/food-science-new/,True,False,K
Front Office Management (New),https://www.shl.com/products/product-catalog/view/front-office-management-new/,True,False,K
Fundamentals of Chemistry (New),https://www.shl.com/products/product-catalog/view/fundamentals-of-chemistry-new/,True,False,K
Fundamentals of Physics (New),https://www.shl.com/products/product-catalog/view/fundamentals-of-physics-new/,True,False,K
General Diseases (New),https://www.shl.com/products/product-catalog/view/general-diseases-new/,True,False,K
Geoinformatics Engineering (New),https://www.shl.com/products/product-catalog/view/geoinformatics-engineering-new/,True,False,K
Geoscience Engineering (New),https://www.shl.com/products/product-catalog/view/geoscience-engineering-new/,True,False,K
GIT (New),https://www.shl.com/products/product-catalog/view/git-new/,True,False,K
Global Skills Assessment,https://www.shl.com/products/product-catalog/view/global-skills-assessment/,True,False,"C, K"
Graduate Scenarios,https://www.shl.com/products/product-catalog/view/graduate-scenarios/,True,False,B
Graduate Scenarios Narrative Report,https://www.shl.com/products/product-catalog/view/graduate-scenarios-narrative-report/,True,False,B
Graduate Scenarios Profile Report,https://www.shl.com/products/product-catalog/view/graduate-scenarios-profile-report/,True,False,B
Hibernate (New),https://www.shl.com/products/product-catalog/view/hibernate-new/,True,False,K
HIPAA (Security),https://www.shl.com/products/product-catalog/view/hipaa-security/,True,True,K
HiPo Assessment Report 1.0,https://www.shl.com/products/product-catalog/view/hipo-assessment-report-1-0/,True,False,"C, P"
HiPo Assessment Report 2.0,https://www.shl.com/products/product-catalog/view/hipo-assessment-report-2-0/,True,False,"C, P"
HiPo Unlocking Potential Report 2.0,https://www.shl.com/products/product-catalog/view/hipo-unlocking-potential-report-2-0/,True,False,C
Housekeeping (New),https://www.shl.com/products/product-catalog/view/housekeeping-new/,True,False,K
HTML/CSS (New),https://www.shl.com/products/product-catalog/view/htmlcss-new/,True,False,K
HTML5 (New),https://www.shl.com/products/product-catalog/view/html5-new/,True,False,K
Human Resources (New),https://www.shl.com/products/product-catalog/view/human-resources-new/,True,False,K
IBM DataStage (New),https://www.shl.com/products/product-catalog/view/ibm-datastage-new/,True,False,K
IBM Sterling Order Management System (New),https://www.shl.com/products/product-catalog/view/ibm-sterling-order-management-system-new/,True,False,K
Industrial Engineering (New),https://www.shl.com/products/product-catalog/view/industrial-engineering-new/,True,False,K
Informatica (Architecture) (New),https://www.shl.com/products/product-catalog/view/informatica-architecture-new/,True,False,K
Informatica (Developer) (New),https://www.shl.com/products/product-catalog/view/informatica-developer-new/,True,False,K
Instrumentation Engineering (New),https://www.shl.com/products/product-catalog/view/instrumentation-engineering-new/,True,False,K
Interpersonal Communications,https://www.shl.com/products/product-catalog/view/interpersonal-communications/,True,True,K
Interviewing and Hiring Concepts (U.S.),https://www.shl.com/products/product-catalog/view/interviewing-and-hiring-concepts-u-s/,True,True,K
iOS Development (New),https://www.shl.com/products/product-catalog/view/ios-development-new/,True,False,K
ITIL (IT Infrastructure Library) (New),https://www.shl.com/products/product-catalog/view/itil-it-infrastructure-library-new/,True,False,K
Java 2 Platform Enterprise Edition 1.4 Fundamental,https://www.shl.com/products/product-catalog/view/java-2-platform-enterprise-edition-1-4-fundamental/,True,True,K
Java 8 (New),https://www.shl.com/products/product-catalog/view/java-8-new/,True,False,K
Java Design Patterns (New),https://www.shl.com/products/product-catalog/view/java-design-patterns-new/,True,False,K
Java Frameworks (New),https://www.shl.com/products/product-catalog/view/java-frameworks-new/,True,False,K
Java Platform Enterprise Edition 7 (Java EE 7),https://www.shl.com/products/product-catalog/view/java-platform-enterprise-edition-7-java-ee-7/,True,True,K
Java Web Services (New),https://www.shl.com/products/product-catalog/view/java-web-services-new/,True,False,K
JavaScript (New),https://www.shl.com/products/product-catalog/view/javascript-new/,True,False,K
Jenkins (New),https://www.shl.com/products/product-catalog/view/jenkins-new/,True,False,K
Job Control Language (New),https://www.shl.com/products/product-catalog/view/job-control-language-new/,True,False,K
jQuery (New),https://www.shl.com/products/product-catalog/view/jquery-new/,True,False,K
Kubernetes (New),https://www.shl.com/products/product-catalog/view/kubernetes-new/,True,False,K
Linux Administration (New),https://www.shl.com/products/product-catalog/view/linux-administration-new/,True,False,K
Linux Operating System,https://www.shl.com/products/product-catalog/view/linux-operating-system/,True,False,K
Linux Programming (General),https://www.shl.com/products/product-catalog/view/linux-programming-general/,True,True,K
Load Runner (New),https://www.shl.com/products/product-catalog/view/load-runner-new/,True,False,K
Management Scenarios,https://www.shl.com/products/product-catalog/view/management-scenarios/,True,False,B
Managerial Scenarios Candidate Report,https://www.shl.com/products/product-catalog/view/managerial-scenarios-candidate-report/,True,False,B
Managerial Scenarios Narrative Report,https://www.shl.com/products/product-catalog/view/managerial-scenarios-narrative-report/,True,False,B
Managerial Scenarios Profile Report,https://www.shl.com/products/product-catalog/view/managerial-scenarios-profile-report/,True,False,B
Manual Testing (New),https://www.shl.com/products/product-catalog/view/manual-testing-new/,True,False,K
Manufac. & Indust. - Mechanical & Vigilance 8.0,https://www.shl.com/products/product-catalog/view/mechanical-and-vigilance-focus-8-0/,True,False,"A, P"
Manufac. & Indust. - Safety & Dependability 8.0,https://www.shl.com/products/product-catalog/view/safety-and-dependability-focus-8-0/,True,False,P
Manufacturing & Industrial - Essential Focus 8.0,https://www.shl.com/products/product-catalog/view/essential-focus-8-0/,True,False,P
Manufacturing & Industrial - Mechanical Focus 8.0,https://www.shl.com/products/product-catalog/view/mechanical-focus-8-0/,True,False,"A, P"
Manufacturing & Industrial - Vigilance Focus 8.0,https://www.shl.com/products/product-catalog/view/vigilance-focus-8-0/,True,False,"A, P"
Marketing (New),https://www.shl.com/products/product-catalog/view/marketing-new/,True,False,K
Maven (New),https://www.shl.com/products/product-catalog/view/maven-new/,True,False,K
Mechanical Engineering (New),https://www.shl.com/products/product-catalog/view/mechanical-engineering-new/,True,False,K
Mechatronics Engineering (New),https://www.shl.com/products/product-catalog/view/mechatronics-engineering-new/,True,False,K
Medical Terminology (New),https://www.shl.com/products/product-catalog/view/medical-terminology-new/,True,False,K
Metallurgical Engineering (New),https://www.shl.com/products/product-catalog/view/metallurgical-engineering-new/,True,False,K
MFS 360 Enterprise Leadership Report,https://www.shl.com/products/product-catalog/view/mfs-360-enterprise-leadership-report/,True,False,D
MFS 360 UCF Group Report,https://www.shl.com/products/product-catalog/view/mfs-360-ucf-group-report/,True,False,D
MFS 360 UCF Performance Potential Dev Tips Report,https://www.shl.com/products/product-catalog/view/mfs-360-ucf-performance-potential-dev-tips-report/,True,False,D
MFS 360 UCF Standard Report,https://www.shl.com/products/product-catalog/view/mfs-360-ucf-standard-report/,True,False,D
Micro Focus Unified Functional Testing (New),https://www.shl.com/products/product-catalog/view/micro-focus-unified-functional-testing-new/,True,False,K
Microservices (New),https://www.shl.com/products/product-catalog/view/microservices-new/,True,False,K
Microsoft Dynamics Development (New),https://www.shl.com/products/product-catalog/view/microsoft-dynamics-development-new/,True,False,K
Microsoft Excel 365 - Essentials (New),https://www.shl.com/products/product-catalog/view/microsoft-excel-365-essentials-new/,True,False,"K, S"
Microsoft Excel 365 (New),https://www.shl.com/products/product-catalog/view/microsoft-excel-365-new/,True,False,"K, S"
Microsoft Outlook 2013 (adaptive),https://www.shl.com/products/product-catalog/view/microsoft-outlook-2013-adaptive/,True,True,K
Microsoft PowerPoint 365 - Essentials (New),https://www.shl.com/products/product-catalog/view/microsoft-powerpoint-365-essentials-new/,True,False,"K, S"
Microsoft SQL Server 2014 Programming,https://www.shl.com/products/product-catalog/view/microsoft-sql-server-2014-programming/,True,True,K
Microsoft Windows Server 2012 Administration,https://www.shl.com/products/product-catalog/view/microsoft-windows-server-2012-administration/,True,True,K
Microsoft Word 365 - Essentials (New),https://www.shl.com/products/product-catalog/view/microsoft-word-365-essentials-new/,True,False,"K, S"
Microsoft Word 365 (New),https://www.shl.com/products/product-catalog/view/microsoft-word-365-new/,True,False,"S, K"
Mineral Engineering (New),https://www.shl.com/products/product-catalog/view/mineral-engineering-new/,True,False,K
Mining Engineering (New),https://www.shl.com/products/product-catalog/view/mining-engineering-new/,True,False,K
Mobility (New),https://www.shl.com/products/product-catalog/view/mobility-new/,True,False,K
Molecular Biology (New),https://www.shl.com/products/product-catalog/view/molecular-biology-new/,True,False,K
MongoDB (New),https://www.shl.com/products/product-catalog/view/mongodb-new/,True,False,K
Motivation Questionnaire MQM5,https://www.shl.com/products/product-catalog/view/motivation-questionnaire-mqm5/,True,False,P
MQ Candidate Motivation Report,https://www.shl.com/products/product-catalog/view/mq-candidate-motivation-report/,True,False,P
MQ Employee Motivation Report,https://www.shl.com/products/product-catalog/view/mq-employee-motivation-report/,True,False,P
MQ Motivation Report Pack,https://www.shl.com/products/product-catalog/view/mq-motivation-report-pack/,True,False,P
MQ Profile,https://www.shl.com/products/product-catalog/view/mq-profile/,True,False,P
MS Access (New),https://www.shl.com/products/product-catalog/view/ms-access-new/,True,False,K
MS Excel (New),https://www.shl.com/products/product-catalog/view/ms-excel-new/,True,False,K
MS Office Basic Computer Literacy (New),https://www.shl.com/products/product-catalog/view/ms-office-basic-computer-literacy-new/,True,False,K
MS Office Basic Computer Literacy (Sim) (New),https://www.shl.com/products/product-catalog/view/ms-office-basic-computer-literacy-sim-new/,True,False,S
MS PowerPoint (New),https://www.shl.com/products/product-catalog/view/ms-powerpoint-new/,True,False,K
MS Word (New),https://www.shl.com/products/product-catalog/view/ms-word-new/,True,False,K
MuleSoft Development (New),https://www.shl.com/products/product-catalog/view/mulesoft-development-new/,True,False,K
Multitasking Ability,https://www.shl.com/products/product-catalog/view/multitasking-ability/,True,False,"A, K, S"
Networking and Implementation (New),https://www.shl.com/products/product-catalog/view/networking-and-implementation-new/,True,False,K
Node.js (New),https://www.shl.com/products/product-catalog/view/node-js-new/,True,False,K
Nursing (New),https://www.shl.com/products/product-catalog/view/nursing-new/,True,False,K
Occupational Personality Questionnaire OPQ32r,https://www.shl.com/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,True,False,P
Operations Management (New),https://www.shl.com/products/product-catalog/view/operations-management-new/,True,False,K
OPQ Candidate Plus Report,https://www.shl.com/products/product-catalog/view/opq-candidate-plus-report/,True,False,P
OPQ Candidate Report 2.0,https://www.shl.com/products/product-catalog/view/opq-candidate-report-2-0/,True,False,P
OPQ Emotional Intelligence Report,https://www.shl.com/products/product-catalog/view/opq-emotional-intelligence-report/,True,False,P
OPQ Leadership Report,https://www.shl.com/products/product-catalog/view/opq-leadership-report/,True,False,P
OPQ Manager Plus Report,https://www.shl.com/products/product-catalog/view/opq-manager-plus-report/,True,False,P
OPQ Manager Plus Report 2.0,https://www.shl.com/products/product-catalog/view/opq-manager-plus-report-2-0/,True,False,P
OPQ Maximising your Learning Report,https://www.shl.com/products/product-catalog/view/opq-maximising-your-learning-report/,True,False,P
OPQ MQ Sales Report,https://www.shl.com/products/product-catalog/view/opq-mq-sales-report/,True,False,P
OPQ Premium Plus Report,https://www.shl.com/products/product-catalog/view/opq-premium-plus-report/,True,False,P
OPQ Premium Plus Report 2.0,https://www.shl.com/products/product-catalog/view/opq-premium-plus-report-2-0/,True,False,P
OPQ Profile Report,https://www.shl.com/products/product-catalog/view/opq-profile-report/,True,False,P
OPQ Team Impact Group Development Report,https://www.shl.com/products/product-catalog/view/opq-team-impact-group-development-report/,True,False,P
OPQ Team Impact Individual Development Report,https://www.shl.com/products/product-catalog/view/opq-team-impact-individual-development-report/,True,False,P
OPQ Team Impact Selection Report,https://www.shl.com/products/product-catalog/view/opq-team-impact-selection-report/,True,False,P
OPQ Team Types & Leadership Styles Profile,https://www.shl.com/products/product-catalog/view/opq-team-types-and-leadership-styles-profile/,True,False,P
OPQ Team Types and Leadership Styles Report,https://www.shl.com/products/product-catalog/view/opq-team-types-and-leadership-styles-report/,True,False,P
OPQ UCF Development Action Planner Report 1.0,https://www.shl.com/products/product-catalog/view/opq-ucf-development-action-planner-report/,True,False,P
OPQ UCF Development Action Planner Report 2.0,https://www.shl.com/products/product-catalog/view/opq-ucf-development-action-planner-report-2-0/,True,False,P
OPQ Universal Competency Report 1.0,https://www.shl.com/products/product-catalog/view/opq-universal-competency-report/,True,False,P
OPQ Universal Competency Report 2.0,https://www.shl.com/products/product-catalog/view/opq-universal-competency-report-2-0/,True,False,P
OPQ User and Managers Report,https://www.shl.com/products/product-catalog/view/opq-user-and-managers-report/,True,False,P
OPQ User Report,https://www.shl.com/products/product-catalog/view/opq-user-report/,True,False,"P, S"
Account Manager Solution,https://www.shl.com/products/product-catalog/view/account-manager-solution/,True,True,"C, P, A, B"
Administrative Professional - Short Form,https://www.shl.com/products/product-catalog/view/administrative-professional-short-form/,True,True,"A, K, P"
Agency Manager Solution,https://www.shl.com/products/product-catalog/view/agency-manager-solution/,True,True,"A, B, P, S"
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,True,False,"B, P"
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,True,False,"B, P"
Bank Administrative Assistant - Short Form,https://www.shl.com/products/product-catalog/view/bank-administrative-assistant-short-form/,True,False,"A, B, K, P"
Bank Collections Agent - Short Form,https://www.shl.com/products/product-catalog/view/bank-collections-agent-short-form/,True,False,"A, B, P"
Bank Operations Supervisor - Short Form,https://www.shl.com/products/product-catalog/view/bank-operations-supervisor-short-form/,True,True,"A, B, P, S"
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,True,True,"B, P, S, A"
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,True,True,"P, S, K, B, A"
Branch Manager - Short Form,https://www.shl.com/products/product-catalog/view/branch-manager-short-form/,True,False,"A, B, P"
Cashier Solution,https://www.shl.com/products/product-catalog/view/cashier-solution/,True,True,"B, A, P"
Oracle DBA (Advanced Level) (New),https://www.shl.com/products/product-catalog/view/oracle-dba-advanced-level-new/,True,False,K
Oracle DBA (Entry Level) (New),https://www.shl.com/products/product-catalog/view/oracle-dba-entry-level-new/,True,False,K
Oracle PL/SQL (New),https://www.shl.com/products/product-catalog/view/oracle-plsql-new/,True,False,K
Oracle WebLogic Server (New),https://www.shl.com/products/product-catalog/view/oracle-weblogic-server-new/,True,False,K
Organic Chemistry (New),https://www.shl.com/products/product-catalog/view/organic-chemistry-new/,True,False,K
Paint Technology (New),https://www.shl.com/products/product-catalog/view/paint-technology-new/,True,False,K
Pediatrics (New),https://www.shl.com/products/product-catalog/view/pediatrics-new/,True,False,K
Pega Development (New),https://www.shl.com/products/product-catalog/view/pega-development-new/,True,False,K
Perl (New),https://www.shl.com/products/product-catalog/view/perl-new/,True,False,K
Petrochemical Engineering (New),https://www.shl.com/products/product-catalog/view/petrochemical-engineering-new/,True,False,K
Petroleum Engineering (New),https://www.shl.com/products/product-catalog/view/petroleum-engineering-new/,True,False,K
Pharmaceutical Analysis (New),https://www.shl.com/products/product-catalog/view/pharmaceutical-analysis-new/,True,False,K
Pharmaceutical Chemistry (New),https://www.shl.com/products/product-catalog/view/pharmaceutical-chemistry-new/,True,False,K
Pharmaceutical Science (New),https://www.shl.com/products/product-catalog/view/pharmaceutical-science-new/,True,False,K
Pharmaceutics (New),https://www.shl.com/products/product-catalog/view/pharmaceutics-new/,True,False,K
Pharmacology (New),https://www.shl.com/products/product-catalog/view/pharmacology-new/,True,False,K
PHP (New),https://www.shl.com/products/product-catalog/view/php-new/,True,False,K
PJM Development Report,https://www.shl.com/products/product-catalog/view/pjm-development-report/,True,False,"C, A, P"
PJM Selection Report,https://www.shl.com/products/product-catalog/view/pjm-selection-report/,True,False,"A, C, P"
Polymer Engineering (New),https://www.shl.com/products/product-catalog/view/polymer-engineering-new/,True,False,K
Power Electronics and Drives (New),https://www.shl.com/products/product-catalog/view/power-electronics-and-drives-new/,True,False,K
Power System Engineering (New),https://www.shl.com/products/product-catalog/view/power-system-engineering-new/,True,False,K
Prism (New),https://www.shl.com/products/product-catalog/view/prism-new/,True,False,K
Production and Industrial Engineering (New),https://www.shl.com/products/product-catalog/view/production-and-industrial-engineering-new/,True,False,K
Production Engineering (New),https://www.shl.com/products/product-catalog/view/production-engineering-new/,True,False,K
