Title,Description,Job Levels,Languages,Assessment Length,Test Type,Remote Testing,URL
Manufacturing Skilled Maintenance Worker,"The Manufacturing Skilled Maintenance solution is designed for entry-level positions to measure the behaviors and experiences that underlie successful and safe performance in the workplace. This solution measures a candidate’s mechanical comprehension abilities and general tendency to behave safely and efficiently in the workplace. This solution uses a variety of assessment types including measures of personality traits, safety-related situational judgment, and mechanical comprehension. The Manufacturing Skilled Maintenance solution is designed for selection to job titles, such as: Industrial Machinery Mechanic, Automotive Service Technician, Small Engine Mechanic, Mobile Equipment Service Technician, and Diesel Service Technician.","Entry-Level,","English (USA),",45,"A, B",True,https://www.shl.com/products/product-catalog/view/manufacturing-skilled-maintenance-worker/
.NET MVC (New),"Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas.","Mid-Professional, Professional Individual Contributor,","English (USA),",17,K,True,https://www.shl.com/products/product-catalog/view/net-mvc-new/
General Entry Level - All Industries 7.1(Americas),"Our General Entry Level – All Industries 7.1 solution is designed for entry-level positions across industries. This solution predicts the following types of behaviors foundational to all jobs: being on-time to work; following rules and policies; treating others respectfully; producing quality work; meeting goals; and effectively working alongside others. Solution can be used across all industries with entry-level positions. Example titles include, but are not limited to: Administrator, Clerk, Veterinary Assistant, Stocker, Dish Washer, Office Coordinator, Tour Guide, Cook, Assistant, Housekeeper, Waste Collector.","Entry-Level,","Portuguese (Brazil), French (Canada), English (USA), Latin American Spanish,",19,B,True,https://www.shl.com/products/product-catalog/view/general-entry-level-all-industries-7-1%28americas%29/
Claims/Operations Supervisor Solution,"The Claims/Operations Supervisor solution is for entry-level management positions that involve supervising hourly employees. Sample tasks for this job include, but are not limited to: planning and preapring work schedules; assigning employees to specific dutites; coaching employees on attendance, conduct, schedule adherence, and work tasks; developing employees' skills; training subordinates; prioritizing multiple tasks and priorities; making day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Team Leader, Coach, First Line Supervisor, Claims Supervisor, Operations Supervisor, and Customer Service Supervisor. Multiple configurations of this solution are available.","Manager,","English (USA),",48,"P, S, A, B",True,https://www.shl.com/products/product-catalog/view/claimsoperations-supervisor-solution/
Healthcare Service Associate Solution,"The Healthcare Service Associate solution is for entry-level positions in a healthcare environment that require the employee to interact with patients. Sample tasks for this job include, but are not limited to: delivering food to patients, cleaning patient rooms, and welcoming guests to the hospital. Potential job titles that use this solution are: Housekeepers, Dietary Aides, and Guest Services Coordinator. There are multiple configurations and versions of this solution available.","Entry-Level,","English (USA),",37,"A, B, P",True,https://www.shl.com/products/product-catalog/view/healthcare-service-associate-solution/
Installation and Repair Technician Solution,"The Installation and Repair Technician solution is designed for use with entry-level field technician positions in the telecommunications industry. The solution is focused on positions that involve installing, repairing, and maintaining telecommunications equipment, along with some customer interaction, and little to no specific sales components. Sample tasks may include: installing or repairing end-user telecommunications equipment and services, interacting with customers, and installing, or repairing telecommunications network infrastructure. Potential job titles that use this solution are: Installer, Service Technician, and Customer Installation Technician. There are multiple configurations of this solution available.","Professional Individual Contributor,","English (USA),",49,"A, B, P, S",True,https://www.shl.com/products/product-catalog/view/installation-and-repair-technician-solution/
Service Supervisor Solution,"The Service Supervisor solution is designed for entry-level leadership positions in the hospitality industry that oversee hourly and salaried employees in customer facing positions (e.g. Front Desk Associate, Concierge, Guest Service Associate). Individuals in these roles perform many of hte duties of the employees they supervise. Sample tasks may include: assisting challenging guests, coaching employees on their customer service skills, taking corrective action when an employee is performing poorly, and monitoring employees to assess the satisfactory completion of tasks. Potential job titles that use this solution are: Front Desk Manager, Guest Services Supervisor, and Front Desk Supervisor. Multiple configurations of this solution are available.","Front Line Manager, Manager, Supervisor,","English (USA),",48,"A, B, P",True,https://www.shl.com/products/product-catalog/view/service-supervisor-solution/
Industrial - Semi-skilled 7.1 (Americas),"Our Industrial – Semi-skilled 7.1 solution is designed for entry-level positions and measures the behaviors and experiences that underlie successful and safe performance for production workers. The solution assesses behaviors and competencies foundational to industrial roles including: following policies and procedures; applying relevant trade skills; wearing required protective equipment; working with or monitoring equipment; producing high quality work; effectively working with others; and maintaining an orderly work environment. Potential job titles that use this solution include: Production and Assembly Worker, Construction Worker, Extraction Technician.
Please note this package is in Americas norm.","Entry-Level,","English (USA), Portuguese (Brazil), French (Canada),",24,B,True,https://www.shl.com/products/product-catalog/view/industrial-semi-skilled-7-1-%28americas%29/
Insurance Account Manager Solution,"The Insurance Account Manager solution is for mid-level insurance professionals that manage the day-to-day operations and activities of customer accounts. Sample tasks for this job include, but are not limited to: soliciting sales of new or additional products or services; interacting with customers to provide information in response to inquiries about products and services and to handle and resolve complaints; keeping records of customer interactions and transactions; resolving customers' service or billing complaints; determining charges for services requested; collecting deposits or payments; and arranging for billing. Potential job titles that use this solution are: Account Executive, Account Manager, and Senior Account Manager. Multiple configurations of this solution are available.","Mid-Professional,","English (USA),",48,"A, B, P, S",True,https://www.shl.com/products/product-catalog/view/insurance-account-manager-solution/
Server Solution,"The Server solution is designed for entry-level positions in the hospitality industry. Sample tasks include greeting customers, taking customer food and drink orders and delivering food items to guests. The solution is focused on work ethic, customer focus and sales. Potential job titles that use this solution are: Server and Waiter/Waitress. Multiple configurations of this solution are available.","Entry-Level,","English (USA),",40,"B, A, P",True,https://www.shl.com/products/product-catalog/view/server-solution/
Proof Operator - Processing Specialist -Short Form,"The Proof Operator – Processing Specialist solution is for entry-level positions that perform basic daily bank operations procedures such as the processing of deposits, reconciling accounts, and handling money transfers. Potential job titles include: Proof Operator, Bank Operations Processor, and Operations Specialist.","Entry-Level,","English (USA),",30,S,True,https://www.shl.com/products/product-catalog/view/proof-operator-processing-specialist-short-form/
Guest Services Associate Solution,"The Guest Services Associate solution is designed for entry to mid-level customer service positions in the hospitality industry. The solution is for highly customer service focused positions with few to no sales components. Sample tasks may include: providing information on entertainment, dining and transportation to guests, making dining recommentations to guests, arranging transportation for guests, and making reservations. Potential job titles that use this solution are: Concierge, Guest Services Agent, Club Concierge, Hotel Concierge, Front Office Manager and Guest Services Associate. Multiple configurations of this solution are available.","Entry-Level,","English (USA),",48,"A, B, P, S",True,https://www.shl.com/products/product-catalog/view/guest-services-associate-solution/
Accounts Payable Simulation (New),Simulated data entry test that measures the ability to process payables and vendor invoices.,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",8,S,True,https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/
ADO.NET (New),"Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects.","Mid-Professional, Professional Individual Contributor,","English (USA),",10,K,True,https://www.shl.com/products/product-catalog/view/ado-net-new/
Entry Level Cashier 7.1 (International),"The Entry level Cashier 7.1 solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. Potential job titles that use this solution are: Cashier, Sales Associate, and Clerk.","Entry-Level,","English (USA),",18,"A, B, P",True,https://www.shl.com/products/product-catalog/view/entry-level-cashier-7-1-%28international%29/
Industrial - Entry Level 7.1 (Americas),"Our Industrial – Entry Level 7.1 solution is designed for entry-level positions, and measures the behaviors and experiences that underlie successful and safe performance in general or light industrial roles. The solution covers a wide variety of entry-level positions, and assesses behaviors including: following policies and procedures; general facility upkeep; producing high quality work; maintaining an orderly work environment; wearing required protective equipment; and being thorough. Potential job titles that use this solution include: Laborer, Custodians, Building and Grounds Maintenance Workers, Handyman.
“IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International and Americas"".","Entry-Level,","English (USA), French (Canada), Portuguese (Brazil), Latin American Spanish,",20,B,True,https://www.shl.com/products/product-catalog/view/industrial-entry-level-7-1-%28americas%29/
Bank Operations Supervisor - Short Form,"The Bank Operations Supervisor solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills ; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Team Leader, First Line Supervisor, Processing Supervisor, Call Center Supervisor, and Customer Service Supervisor. There are multiple configurations and versions of this solution available.","Front Line Manager, Manager, Supervisor,","English (USA),",45,"A, B, P, S",True,https://www.shl.com/products/product-catalog/view/bank-operations-supervisor-short-form/
Retail Consultant Solution,"The Retail Consultant solution is for entry to mid-level retail positions in which employees proactively sell products to customers, develop relationships with repeat customers, and have their pay and/or performance heavily based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and building ongoing customer relationships. Potential job titles that use this solution are: Sales Consultant, Sales Representative, and Retail Sales Associate. There are multiple configurations and versions of this solution available.","Entry-Level,","English (USA),",45,"A, B, P",True,https://www.shl.com/products/product-catalog/view/retail-consultant-solution/
Telenurse Solution,"The Telenurse solution is for positions in a healthcare environment that interact with patients over the telephone. Sample tasks for this job include, but are not limited to: accurately understanding patient's symptoms via the telephone, systematically working through patient symptoms to arrive at the correct diagnosis, and recalling facts from the call for documentation. Potential job titles that use this solution are: Telenurse, Telephone Nurse, or On Call Nurse. Multiple configurations of this solution are available.","Mid-Professional,","English (USA),",68,"A, B, P",True,https://www.shl.com/products/product-catalog/view/telenurse-solution/
Apprentice 8.0 Job Focused Assessment,"The Apprentice 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organizations whose business spans across regions.","Entry-Level, General Population, Graduate,","English International, German, French,",20,"B, P",True,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/
Entry Level Cashier 7.1 (Americas),"The Entry level Cashier 7.1 solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. Potential job titles that use this solution are: Cashier, Sales Associate, and Clerk.","Entry-Level,","French (Canada), Latin American Spanish, English (USA), English International,",18,"B, P, A",True,https://www.shl.com/products/product-catalog/view/entry-level-cashier-7-1-%28americas%29/
Professional 7.0 Solution,"Our Professional 7.0 solution is designed for all non-managerial professional individual contributor positions. Sample tasks for these jobs include, but are not limited to: gathering requirements, analyzing data, managing projects, producing products or services.
Report Language Availability: English (USA), Latin American Spanish.","Mid-Professional, Professional Individual Contributor,","English (USA), English International, French (Canada), Latin American Spanish,",33,"B, C",True,https://www.shl.com/products/product-catalog/view/professional-7-0-solution/
Workplace Safety - Individual 7.1 (Americas),"Our Workplace Safety - Individual 7.1 solution is designed for entry-level positions and measures the behaviors and experiences that underlie successful and safe performance with more individually-oriented roles or work environments. The solution assesses behaviors and competencies foundational to safety across a wide range of jobs, including: following policies and procedures; wearing required protective equipment; safely operating vehicles and/or machinery; taking action in unsafe situations; and producing high quality work. Industries and environments with entry-level positions that use this solution are: Warehouse, Healthcare, Delivery and Logistics, Food Handling and Preparation, Assembly and Installation, Transportation, Manufacturing and Processing, Construction, Drivers, Oil and Gas, and Mining.","Entry-Level,","Portuguese (Brazil), English (USA), French (Canada), Latin American Spanish,",16,B,True,https://www.shl.com/products/product-catalog/view/workplace-safety-individual-7-1-solution/
Sales Engineer Solution,"The Sales Engineer solution is designed for use with professional level telecommunications engineers with distinct sales responsibilities. The solution is focused on positions that involve the design of telecommunications networks for specific customer applications, and places an emphasis on reasoning ability and sales ability. Sample tasks may include: designing network solutions to meet customer needs, communicating technical information to all levels of clients participating in the sales process, assisting or owning the sales process, and ensuring proper implementation of contracted equipment and services. Potential job titles that use this solution are: Sales Engineer, Senior Technical Consultant, and Technical Sales Lead. There are multiple configurations of this solution available.","Professional Individual Contributor,","English (USA),",61,"A, B, K, P, S",True,https://www.shl.com/products/product-catalog/view/sales-engineer-solution/
Insurance Director Solution,"The Insurance Director solution is for senior-level management positions in the insurance companies that oversee sales functions across multiple brokerages, offices, or agencies or geographic territories. Sample tasks for this job includes, but is not limited to: directing a group of sales managers or agency managers; having profit and loss responsibility for a district or region; and aligning work with overall company goals. Potential job titles that use this solution are: Regional Managers, Associate Directors, and Managing Directors. Multiple configurations of this solution are available.","Director, Front Line Manager, Manager, Supervisor,","English (USA),",49,"A, B, P",True,https://www.shl.com/products/product-catalog/view/insurance-director-solution/
Home Health Aide Solution,"The Home Health Aide solution is for entry-level positions in an in-home or group home environment. Sample tasks for this job include, but are not limited to: monitoring vital signs and medication intake, administering bedside and personal care such as ambulation and personal hygiene, and preparing and maintaining records of patient progress and services performed. Potential job titles that use this solution are: Personal Care Aide, Home Health Aide, Residential Assistant, and Certified Nursing Assistant. There are multiple configurations and versions of this solution available.","Entry-Level,","English (USA),",41,"A, B, P",True,https://www.shl.com/products/product-catalog/view/home-health-aide-solution/
Retail Sales Associate Solution,"The Retail Sales Associate solution is for entry-level retail positions in which employees proactively sell products to customers and have their pay and/or performance based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer. Potential job titles that use this solution are: Sales Representative, Retail Sales Associate, and Sales Clerk. There are multiple configurations and versions of this solution available.","Entry-Level,","English (USA),",29,"A, B, P",True,https://www.shl.com/products/product-catalog/view/retail-sales-associate-solution/
Global Skills Development Report,"This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this measure of self-reported behaviors offers a complete overview of their current skills. Participants receive actionable tips on leveraging their top skill strengths and how they might develop their growth skills.","Director, Entry-Level, Executive, General Population, Graduate, Manager, Mid-Professional, Front Line Manager, Supervisor,",,,"A, E, B, C, D, P",True,https://www.shl.com/products/product-catalog/view/global-skills-development-report/
Front Desk Associate Solution,"The Front Desk Associate solution is designed for entry-level customer service positions in the hospitality industry. The solution is appropriate for positions in which the majority of work is done at the front or guest check-in desk. Sample tasks may include: welcoming guests warmly, issuing keys to guests, tabulating guest bills and accpeting payment. Potential job titles that use this solution are: Front Desk Clerk, Guest Desk Attendant, Guest Check-in Associate, or Front Office Agent. Multiple configurations of this solution are available.","Entry-Level,","English (USA),",50,"A, B, P",True,https://www.shl.com/products/product-catalog/view/front-desk-associate-solution/
Industrial Professional and Skilled 7.1 (Americas),"Our Industrial – Professional and Skilled 7.1 solution is designed to measure the behaviors and experiences that underlie successful and safe performance in the workplace for specialized technical or professional industrial roles. This solution assesses mechanical comprehension and other foundational behaviors including: behaving safely and efficiently in the workplace; installing, repairing, and/or maintaining equipment and machinery; making sound mechanical decisions; maintaining an orderly work environment; and producing high quality and reliable work.
“IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International and Americas"".","Entry-Level,","Portuguese (Brazil), English (USA), French (Canada),",49,"A, B",True,https://www.shl.com/products/product-catalog/view/industrial-professional-and-skilled-7-1-%28americas%29/
Supervisor 7.1 (Americas),"Our Supervisor 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others.
Report Language Availability: English (USA), Canadian French, Brazilian Portuguese.
“IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International and Americas"".","Front Line Manager, Supervisor,","Portuguese (Brazil), French (Canada), English (USA),",29,"B, C, P",True,https://www.shl.com/products/product-catalog/view/supervisor-7-1-%28americas%29/
Bilingual Spanish Reservation Agent Solution,"The Bilingual Reservation Agent solution is designed for customer centered entry-level positions within the hospitality industry. Sample tasks may include making, updating, or canceling hotel reservations made in English or Spanish; listening to customers speak Spanish and entering information into a computer in English; providing information on the hotel and the services offered. Potential job titles that use this solution are: Bilingual Reservation Agent, Customer Service Representative and Reservationist. Multiple configurations of this solution are available.","Entry-Level,","English (USA), Latin American Spanish,",43,"B, P, S, A",True,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/
Contact Center Customer Service 8.0,The Customer Service 8.0 JFA is designed for entry-level positions in a contact center environment where the main focus is customer service.,"Entry-Level,","English (USA), German, Portuguese (Brazil), English International, Latin American Spanish, French (Canada), French,",31,"S, B, C, P",True,https://www.shl.com/products/product-catalog/view/contact-center-customer-service-8-0-4269/
Manager + 7.0 Solution,"Our Manager + 7.0 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees, and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees ' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems.
Report Language Availability: English (USA).","Front Line Manager, Manager,","English (USA), English International,",53,"A, B, C",True,https://www.shl.com/products/product-catalog/view/manager-7-0-solution-3955/
Graduate 7.1 Job Focused Assessment,The Graduate 7.1 Job Focused Assessment is designed for professional level positions appropriate for recent college graduates.,"Graduate,","Chinese Simplified, English (USA), French, German, English International, Italian, Japanese, Latin American Spanish, Polish, Russian, Swedish, Dutch, Portuguese (Brazil),",19,"B, C",True,https://www.shl.com/products/product-catalog/view/graduate-7-1-job-focused-assessment/
Manager 7.1 (International),"Our Manager 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees ' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems.
Report Language Availability: English (USA), Danish, Finnish, Canadian French, Italian, Norwegian, French, German, English International,.
“IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International"".","Director, Executive, Front Line Manager, Manager,","English (USA), English International, French, German, Portuguese (Brazil), Danish, Finnish, Italian, Norwegian, Swedish, Dutch, French (Canada),",40,"B, C, P",True,https://www.shl.com/products/product-catalog/view/manager-7-1-solution/
Support Supervisor Solution,"The Support Supervisor solution is designed for entry-level leadership positions in the hospitality industry that oversee hourly employees in non-customer facing support positions (e.g. Janitors, Laundry Workers, Grounds Crew). Individuals in these roles may perform many of the duties of the employees they supervise. Sample tasks may include: assigning work tasks, taking corrective action when an employee is performing poorly, and monitoring employees to assess the satisfactory completion of tasks. Potential job titles that use this solution are: Head Custodian, Maintenance Supervisor, Buildings and Grounds Supervisor, Facilities Manager, Housekeeping Supervisor, Building and Grounds Director and Housekeepig Director. Multiple configurations of this solution are available.","Front Line Manager, Manager, Supervisor,","English (USA),",39,"A, P, S, B",True,https://www.shl.com/products/product-catalog/view/support-supervisor-solution/
Phone Banker - Short Form,"This solution is for entry to mid-level financial institution positions. Candidates are asked to answer multiple choice questions to assess learning potential, dependability, persistence and planfulness, sales focus, customer focus, and working with information.","Entry-Level, Mid-Professional,","English (USA),",40,"A, B, P",True,https://www.shl.com/products/product-catalog/view/phone-banker-short-form/
Restaurant Supervisor Solution,"The Restaurant Supervisor solution is designed for management level positions in the hospitality industry. Sample tasks include serving as a staff resource, setting schedules and monitoring daily operations. The solution is focused on solving problems, making good decisions and maintaining focus on the customer. Potential job titles that use this solution are: Restaurant Supervisor and Restaurant Staff Supervisor. Multiple configurations of this solution are available.","Front Line Manager, Manager, Supervisor,","English (USA),",53,"A, B, P",True,https://www.shl.com/products/product-catalog/view/restaurant-supervisor-solution/
Professional + 7.1 (Americas),"Our Professional + 7.1 solution is designed for all non-managerial professional individual contributor positions, and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: gathering requirements, analyzing data, managing projects, producing products or services.","General Population, Mid-Professional, Professional Individual Contributor,","Latin American Spanish,",56,"B, C, P",True,https://www.shl.com/products/product-catalog/view/professional-7-1-%28americas%29/
Senior Insurance Agent Solution,"The Senior Insurance Agent solution is for senior-level professional positions in the insurance industry that sell a portfolio of insurance products, including property, casualty, automotive, health, and life. Sample tasks for this position include, but are not limited to: calling on policyholders to deliver and explain policies or suggest additions or changes; calculating premiums; customizing insurance programs to suit individual customers; ensuring policy requirements are fulfilled; and conferring with clients to obtain and provide information when claims are made on a policy. Potential job titles that use this solution are: Insurance Senior Sales Professional, Senior Producer, Insurance Sales Agent, and Insurance Agent. Multiple configurations of this solution are available.","Professional Individual Contributor,","English (USA),",44,"A, B, P",True,https://www.shl.com/products/product-catalog/view/senior-insurance-agent-solution/
Workplace Safety - Individual 7.0 Solution,"Our Workplace Safety - Individual 7.0 solution is designed for entry-level positions and measures the behaviors and experiences that underlie successful and safe performance with more individually-oriented roles or work environments. The solution assesses behaviors and competencies foundational to safety across a wide range of jobs, including: following policies and procedures; wearing required protective equipment; safely operating vehicles and/or machinery; taking action in unsafe situations; and producing high quality work. Industries and environments with entry-level positions that use this solution are: Warehouse, Healthcare, Delivery and Logistics, Food Handling and Preparation, Assembly and Installation, Transportation, Manufacturing and Processing, Construction, Drivers, Oil and Gas, and Mining.
Report Language Availability: English (USA), Latin American Spanish.","Entry-Level,","German, English International, English (USA), Italian, French, Dutch, French (Canada), Latin American Spanish, Arabic,",16,B,True,https://www.shl.com/products/product-catalog/view/workplace-safety-individual-7-0-solution/
Accounts Payable (New),"Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries.","Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",9,K,True,https://www.shl.com/products/product-catalog/view/accounts-payable-new/
Accounts Receivable Simulation (New),Simulated data entry test that measures the ability to process receivables and invoices.,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",8,S,True,https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/
Healthcare Call Center Agent Solution,"The Healthcare Call Center Agent solution is for entry-level positions in an inbound healthcare call center environment. Sample tasks for this job include, but are not limited to: taking and receiving information from patients over the phone, working between computer screens, and entering information into a computer. Potential job titles that use this solution are: Call Center Representative, Receptionist, and Switchboard Operator. Multiple configurations of this solution are available.","Entry-Level,","English (USA),",44,"A, B, P, S",True,https://www.shl.com/products/product-catalog/view/healthcare-call-center-agent-solution/
